CONSORT_Item,PMCID,sentence_id,start_char_pos,end_char_pos,section,clean_sentence_text
12b,PMC3002766,S80,12573,12694,Statistical methods, Placebo corrected changes baseline RR HRs Cox modelling reported 95 CIs appropriate
0,PMC3002766,S81,12695,12796,Statistical methods, Safety baseline data summarised descriptively statistical testing planned given
4a,PMC3002834,S50,5403,5509,Study subjects, A detailed description inclusion exclusion criteria study previously published 14
0,PMC3002834,S51,5510,5607,Study subjects, The protocol approved medical ethics committee patients gave informed consent
0,PMC3002834,S52,5608,5668,Study subjects, Procedures accordance Helsinki Declaration
4a,PMC3002834,S53,5677,6109,Study subjects, Patients mild anaemia women 6 4  7 4  mmol l men 6 4  7 8  mmol l moderate CKD estimated creatinine clearance 20  70  ml min Cockcroft  Gault formula CHF functional NYHA class II  IV based symptoms signs objective abnormality echocardiography 15 reduced ejection fraction 50 left ventricular end diastolic volume index 97  ml m2 evidence diastolic left ventricular dysfunction16 included
6a,PMC3002834,S55,6153,6251,Study design, EPC levels function compared 45 CRS patients baseline 20 healthy controls
3a,PMC3002834,S56,6252,6332,Study design, The effects EPO treatment evaluated open label randomised design
5,PMC3002834,S57,6333,6486,Study design, Patients received EPO treatment 50  IU kg week Neorecormon Roche Pharmaceuticals Woerden Netherlands standard treatment without EPO one year
6a,PMC3002834,S58,6487,6687,Study design, Short term effects EPO n 30 versus EPO n 15 evaluated 18  days 3  days third EPO injection EPO treatment yet expected result haematopoietic response
6a,PMC3002834,S59,6688,6924,Study design, Long term 52  week effects EPO assessed subgroup EPO treated patients allowed increase haemoglobin Hb levels 8 5  mmol l men 8 3  mmol l women n 13 non EPO treated group n 13
6a,PMC3002834,S61,6975,7124,Plasma measurements, Serum EPO levels measured sandwich chemiluminescent immunoassay IMMULITE 2000 platform Siemens Healthcare Diagnostics Breda Netherlands
6a,PMC3002834,S62,7125,7580,Plasma measurements, Endothelial dysfunction EPC mobilising factors inflammation markers measured using ELISA E selectin vascular cell adhesion molecule 1 VCAM 1 interleukin IL 6 VEGF SDF 1  R D Systems Minneapolis Minnesota USA thrombomodulin Diaclone Stamford Connecticut USA multiplex immunoassay17 intercellular adhesion molecule 1 ICAM 1 monocyte chemotactic protein 1 MCP 1 Bio Rad Laboratories Hercules California USA
6a,PMC3002834,S63,7581,7762,Plasma measurements, High sensitivity C reactive protein hsCRP determined particle enhanced immunonephelometry standard Cardio Phase hsCRP BNII Dade Behring Holding Liederbach Germany
6a,PMC3002834,S64,7763,7923,Plasma measurements, N terminal prohormone brain natriuretic peptide NT proBNP measured using electrochemiluminescense immunoassay Cobas CA6000 Roche Mannheim Germany
6a,PMC3002834,S65,7924,7985,Plasma measurements, Samples measured duplicate averaged analysis
6a,PMC3002834,S67,8039,8207,Circulating EPC levels, Circulating EPC defined cells positive haematopoietic stem cell marker CD34 endothelial marker kinase insert domain receptor KDR ie VEGF receptor 2
0,PMC3002834,S68,8208,8354,Circulating EPC levels, This CD34 KDR EPC previously shown clinical importance predicting cardiovascular events death cardiovascular risk populations 18 19
6a,PMC3002834,S69,8355,8614,Circulating EPC levels, Blood 100   l incubated anti CD34 FITC BD Pharmingen California USA anti KDR PE R D Systems anti CD45 PE Cy7 BD Pharmingen antibodies 45  min Erythrocytes lysed analysed flow cytometry Beckman Coulter California USA
6a,PMC3002834,S70,8615,8746,Circulating EPC levels, Circulating HSC EPC identified CD34 CD34 KDR cells lymphocyte region forward sideward scatter plot
6a,PMC3002834,S71,8747,8872,Circulating EPC levels, Cell numbers quantified relative 105 granulocytes identified CD45 cells typical granulocyte distribution
6a,PMC3002834,S72,8873,8940,Circulating EPC levels, Measurements performed duplicate results averaged
6a,PMC3002834,S73,8941,8993,Circulating EPC levels, Isotype stained samples served negative controls
6a,PMC3002834,S75,9052,9133,Outgrowth of EPC in culture, EPC outgrowth mononuclear cells MNC assessed described previously 3
6a,PMC3002834,S76,9134,9264,Outgrowth of EPC in culture, In brief MNC isolated blood using Ficoll density gradient separation Histopaque 1077 Sigma St Louis Missouri USA
6a,PMC3002834,S77,9265,9589,Outgrowth of EPC in culture, To evaluate EPC outgrowth culture 107 MNC well seeded human fibronectin Sigma coated 6 well plate EGM 2 Cambrex Baltimore Maryland USA supplemented accompanying aliquots 20 fetal calf serum Invitrogen Carlsbad California USA 100  ng ml recombinant VEGF 165 R D Systems antibiotics
6a,PMC3002834,S78,9590,9654,Outgrowth of EPC in culture, Medium changed 4  days wash non adherent cells away
6a,PMC3002834,S79,9655,9836,Outgrowth of EPC in culture, After 7  days cultured EPC selected wells placed serum free medium EBM 2 hEGF hydrocortisone GA 1000 R3 IGF 1 ascorbic acid heparin antibiotics overnight
6a,PMC3002834,S80,9837,10004,Outgrowth of EPC in culture, Conditioned medium stored functional experiments cultured EPC detached trypsin cell scraping automatically counted using haemocytometer
6a,PMC3002834,S82,10064,10213,In vitro scratch wound assay, The potential EPC outgrowth excrete paracrine factors stimulate endothelial cell migration assessed vitro scratch wound assay 20
6a,PMC3002834,S83,10214,10337,In vitro scratch wound assay, In brief EPC outgrowth medium placed mechanically scratched confluent human microvascular endothelial cell layer
6a,PMC3002834,S84,10338,10468,In vitro scratch wound assay, After 6  h extent scratch closure relative starting width compared study groups using light photography
6a,PMC3002834,S85,10469,10562,In vitro scratch wound assay, Each sample measured two separate wells two picture fields per well examined
6a,PMC3002834,S86,10563,10603,In vitro scratch wound assay, Results averaged data analysis
12a,PMC3002834,S88,10655,10713,Statistical analysis, Data analysis performed using SPSS V 15 0 Windows
12a,PMC3002834,S89,10714,10774,Statistical analysis, Data distribution tested Kolmogorov  Smirnov test
12a,PMC3002834,S90,10775,10871,Statistical analysis, Data expressed mean SD parametric data median IQR non parametric data
12a,PMC3002834,S91,10872,10961,Statistical analysis, Differences groups analysed using Student s test Mann  Whitney test
12a,PMC3002834,S92,10962,11052,Statistical analysis, Fisher s exact test used analyse whether proportions categories varied group
12a,PMC3002834,S93,11053,11184,Statistical analysis, Multiple group comparisons performed using ANOVA LSD post hoc testing non parametric data log transformed
12a,PMC3002834,S94,11185,11281,Statistical analysis, Correlations measured Pearson s Spearman s correlation coefficient appropriate
12a,PMC3002834,S95,11282,11414,Statistical analysis, Multivariate determinants log transformed progenitor cell counts identified stepwise multiple linear regression analysis
0,PMC3002834,S96,11415,11475,Statistical analysis, A value p 0 05 considered statistically significant
0,PMC3016167,S47,6193,6302,Trial design, Anti scorpion antivenom purchased Haffkine Biopharma Mumbai given participants trial
4a,PMC3016167,S48,6303,6414,Trial design, We proposed include people admitted scorpion sting one year March 2009 February 2010
3a,PMC3016167,S49,6415,6652,Trial design, This randomised 1 1 allocation ratio parallel group open label controlled trial conducted Bawaskar Hospital Mahad region India population 20  000 situated 180 km south Mumbai Mumbai Goa highway
4b,PMC3016167,S49,6415,6652,Trial design, This randomised 1 1 allocation ratio parallel group open label controlled trial conducted Bawaskar Hospital Mahad region India population 20  000 situated 180 km south Mumbai Mumbai Goa highway
0,PMC3016167,S50,6653,6752,Trial design, An independent data safety monitoring board monitored trial access data
0,PMC3016167,S51,6753,6841,Trial design, Statistical analysis done statistician collaboration investigators
0,PMC3016167,S52,6842,7005,Trial design, The study design approved independent ethics committee BYL Medical College Mumbai IEC 08 39 participants provided written informed consent
6a,PMC3016167,S54,7048,7143,Sample size, The primary efficacy variable time required recovery venomous scorpion sting
7a,PMC3016167,S55,7144,7461,Sample size, We estimated 35 patients group would required achieve 80 power detect mean difference four hours recovery time groups assuming mean recovery time 10 hours SD 2 5 hours antivenom plus prazosin group 14 SD 3 hours prazosin alone group
8a,PMC3016167,S57,7506,7661,Randomisation, A statistician generated sequentially numbered randomisation list random block sizes 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www randomisation com
8b,PMC3016167,S57,7506,7661,Randomisation, A statistician generated sequentially numbered randomisation list random block sizes 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www randomisation com
8a,PMC3016167,S58,7662,7728,Randomisation, This process reproduced using seed 22491 6 March 2009
9,PMC3016167,S59,7729,7841,Randomisation, This randomisation sequence concealed using sequentially numbered opaque sealed stapled envelopes
10,PMC3016167,S60,7842,8037,Randomisation, Envelopes opened alternately HSB PHB eligible patient consented take part trial patients allocated according randomisation label inside envelope
12a,PMC3016167,S62,8088,8286,Statistical methods, Demographic factors clinical characteristics summarised counts percentages categorical variables mean standard deviation SD normally distributed continuous variables
12b,PMC3016167,S62,8088,8286,Statistical methods, Demographic factors clinical characteristics summarised counts percentages categorical variables mean standard deviation SD normally distributed continuous variables
12a,PMC3016167,S64,8410,8617,Statistical methods, The groups compared using test Fisher  s exact test categorical variables unpaired test normally distributed continuous variables Mann Whitney U test continuous variables
12b,PMC3016167,S64,8410,8617,Statistical methods, The groups compared using test Fisher  s exact test categorical variables unpaired test normally distributed continuous variables Mann Whitney U test continuous variables
12a,PMC3016167,S65,8618,8660,Statistical methods, We analysed results SPSS 17 software
12b,PMC3016167,S66,8661,8823,Statistical methods, Blood pressure pulse rate measured different time points repeated factors treatment group included between participant measure
0,PMC3016167,S67,8824,8842,Statistical methods, set 0 05
12a,PMC3016167,S68,8843,8882,Statistical methods, We used Greenhouse Geisser P value
12b,PMC3016167,S68,8843,8882,Statistical methods, We used Greenhouse Geisser P value
4a,PMC3016167,S70,8922,9097,Patients, Between March 2009 February 2010 recruited patients reported Bawaskar Hospital Mahad research centre stung Mesobuthus tamulus fig 1 2 4 6 31
0,PMC3016167,S71,9107,9153,Patients, Fig 1 Indian red scorpion Mesobuthus tamulus
4a,PMC3016167,S73,9217,9452,Inclusion and exclusion criteria, Patients eligible enrolment reported hospital Mesobuthus tamulus sting clinical grade 2 severity interval less six hours sting hospital admission older six months
4a,PMC3016167,S74,9453,9628,Inclusion and exclusion criteria, Mesobuthus tamulus sting confirmed victim bystander seen red scorpion brought killed specimen recognised hospital  s preserved specimen
0,PMC3016167,S75,9629,9874,Inclusion and exclusion criteria, In way made sure Mesobuthus tamulus confused Palamneus gravimanus larger scorpion less lethal causes severe local pain without systemic involvement transient reversible cardiovascular effects 1 32
4a,PMC3016167,S76,9875,10108,Inclusion and exclusion criteria, Major exclusion criteria patient reporting six hours sting pregnant women history taking prazosin antivenom history bronchial asthma history allergic reaction foreign serum refusal give consent
0,PMC3016167,S77,10117,10177,Inclusion and exclusion criteria, Written informed consent obtained local language
0,PMC3016167,S78,10178,10343,Inclusion and exclusion criteria, For illiterate adults literate relative patient read statement loud consent obtained thumb impression witnessed relative
0,PMC3016167,S79,10344,10393,Inclusion and exclusion criteria, Parent  s consent obtained minor children
0,PMC3016167,S80,10394,10524,Inclusion and exclusion criteria, The study protocol approved independent ethics committee Mumbai registration number 1433 1999G B B S D IEC 08 39
0,PMC3016167,S81,10525,10716,Inclusion and exclusion criteria, All people admitted scorpion sting March 2009 February 2010 insured Oriental Insurance Company Limited clinical trial liability cover policy No 111600 48 2009 227
0,PMC3016167,S83,10776,10871,Evaluation of clinical grade, Cases graded according severity clinical manifestations arrival hospital box
0,PMC3016167,S84,10872,11052,Evaluation of clinical grade, Severity clinical manifestations morbidity mortality depend time lapsed sting hospital admission well grade case arrival 5 9 18 33 34
0,PMC3016167,S86,11199,11384,Evaluation of clinical grade, Grade 1 severe excruciating local pain sting site radiating along corresponding dermatomes mild local oedema sweating sting site without systemic involvement
0,PMC3016167,S87,11431,11852,Evaluation of clinical grade, Grade 2 signs symptoms autonomic storm characterised acetylcholine excess parasympathetic stimulation vomiting profuse sweating body ropey salivation bradycardia premature ventricular contraction hypotension priapism men sympathetic stimulation hypertension blood pressure 140 90 tachycardia heart rate 120 per minute cold extremities transient systolic murmur
0,PMC3016167,S88,11899,12057,Evaluation of clinical grade, Grade 3 cold extremities tachycardia hypotension hypertension pulmonary oedema respiratory rate 24 per minute basal rales crackles lungs
0,PMC3016167,S89,12104,12206,Evaluation of clinical grade, Grade 4 tachycardia hypotension without pulmonary oedema warm extremities warm shock
4a,PMC3016167,S90,12263,12339,Evaluation of clinical grade, Patients grade 2 signs symptoms included present study
0,PMC3016167,S91,12340,12483,Evaluation of clinical grade, After giving written consent eligible patients examined one two authors baseline data recorded standard form
0,PMC3016167,S92,12484,12756,Evaluation of clinical grade, Data included age sex time sting hospital admission history medication admission vomiting soon sting paraesthesia tingling numbness perioral region sometimes reported patient felt body
0,PMC3016167,S93,12765,13029,Evaluation of clinical grade, One authors sat side patients closely clinically examined signs symptoms systemic manifestations presence profuse sweating body ropey salivation priapism men heart murmur coolness extremities
6a,PMC3016167,S94,13030,13157,Evaluation of clinical grade, Blood pressure heart rate cardiac arrhythmias respiratory rate oxygen saturation monitored multipara monitor
6a,PMC3016167,S95,13158,13269,Evaluation of clinical grade, These findings noted admission 00 00 30 minutes 1 2 4 6 8 10 14 18 24 hours
6a,PMC3016167,S96,13270,13399,Evaluation of clinical grade, Subsequent improvement deteriorations grade 3 4 closely followed author examined patient arrival
6a,PMC3016167,S97,13400,13528,Evaluation of clinical grade, Blood collected participants admission measurement haemoglobin white cell count creatine kinase MB
6a,PMC3016167,S98,13529,13622,Evaluation of clinical grade, A 12 lead electrocardiogram ECG done arrival six hours discharge
0,PMC3016167,S100,13670,13836,Study treatments, Mesobuthus tamulus venomous scorpion state western Maharashtra may dangerously venomous scorpion Mahad area 24 25
0,PMC3016167,S101,13837,14043,Study treatments, Haffkine Biopharma Mumbai manufacturing monovalent anti scorpion venom serum F ab 2 Mesobuthus tamulus since 1997 available clinical use rural setting since 2002
0,PMC3016167,S102,14044,14263,Study treatments, Studies conducted different times show antivenom potent 1 mL reconstituted anti scorpion venom serum neutralised 1 2 mg Indian red scorpion venom intravenous route vivo study mice 35
0,PMC3016167,S103,14264,14429,Study treatments, The maximum volume venom injected one sting Indian red scorpion 1 5 mg mL antivenom capable neutralising 1 2 1 5 mg venom 36
5,PMC3016167,S104,14438,14695,Study treatments, A single 30 mL dose Haffkine Biopharma monovalent antivenom batch SS811001 manufacturing date November 2008 expiry date April 2013 added 100 mL normal saline infused intravenously 30 minutes irrespective patient  s age
5,PMC3016167,S105,14696,14900,Study treatments, During infusion patient closely observed reaction serum form sudden onset vomiting urticaria hypotension tachycardia bronchospasm angioneurotic oedema anaphylaxis
5,PMC3016167,S106,14909,15148,Study treatments, Oral prazosin batch ML NH 138 batch GK 60372 manufactured 04 2006 expiry 03 2011 ML NH 138 batch GK 80282 manufactured 02 2008 expiry 01 2013 given dose 250 children age 18 years 500 adults
5,PMC3016167,S107,15149,15232,Study treatments, The dose repeated intervals 3 hours extremities cold
5,PMC3016167,S108,15233,15294,Study treatments, Similar doses administered randomisation groups
5,PMC3016167,S109,15303,15396,Study treatments, Dehydration owing vomiting sweating corrected intravenous crystalloid solution
5,PMC3016167,S110,15397,15543,Study treatments, The prazosin treated group required longer duration larger volumes intravenous crystalloid solution antivenom plus prazosin group
5,PMC3016167,S111,15544,15634,Study treatments, Patients developed grade 3 4 symptoms transferred intensive care unit
5,PMC3016167,S112,15635,15696,Study treatments, Before discharge participants immunised tetanus
6a,PMC3016167,S114,15736,15963,Outcomes, The primary end point proportion patients achieving resolution grade 2 clinical syndrome end 10 hours administration study drugs prevention deterioration grade 3 4 18 21 37
6a,PMC3016167,S115,15964,16170,Outcomes, Secondary end points time required complete resolution clinical syndrome prevention deterioration higher grade doses prazosin required within 10 hours overall adverse events
0,PMC3018567,S46,6826,6871,Study design and patients, The study described detail elsewhere 18
4b,PMC3018567,S47,6872,6972,Study design and patients, Briefly study area Entebbe Municipality Katabi subcounty beside Lake Victoria Uganda
0,PMC3018567,S48,6973,7035,Study design and patients, The area occupied urban rural fishing communities
0,PMC3018567,S49,7036,7159,Study design and patients, Helminth infection highly prevalent area 19 malaria diarrhoea pneumonia common young children 20
4b,PMC3018567,S50,7160,7416,Study design and patients, The study population consisted pregnant women presented government funded antenatal clinic Entebbe General Hospital April 9 2003 Nov 24 2005 roughly 70 pregnant women study area received antenatal care 21
4a,PMC3018567,S51,7417,7589,Study design and patients, Women included resident study area planning deliver hospital willing know HIV status second third trimester pregnancy
4a,PMC3018567,S52,7590,7935,Study design and patients, They excluded possible helminth induced pathological changes haemoglobin 80 g L clinically apparent severe liver disease diarrhoea blood stool history adverse reaction anthelmintics already enrolled trial earlier pregnancy pregnancy deemed abnormal midwife
0,PMC3018567,S53,7944,7992,Study design and patients, All participants gave written informed consent
0,PMC3018567,S54,7993,8162,Study design and patients, Ethics approval given Uganda Virus Research Institute Uganda National Council Science Technology London School Hygiene Tropical Medicine
8b,PMC3018567,S56,8219,8717,Randomisation and masking, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
5,PMC3018567,S56,8219,8717,Randomisation and masking, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
3a,PMC3018567,S56,8219,8717,Randomisation and masking, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
8a,PMC3018567,S57,8718,8851,Randomisation and masking, The randomisation code generated trial statistician computer generated random number sequence block size 100
8b,PMC3018567,S57,8718,8851,Randomisation and masking, The randomisation code generated trial statistician computer generated random number sequence block size 100
9,PMC3018567,S58,8852,9042,Randomisation and masking, Treatments packed sealed envelopes labelled allocation number colleagues Medical Research Council Unit Entebbe otherwise contribute trial
10,PMC3018567,S59,9043,9206,Randomisation and masking, Treatments allocated numerical order trained interviewer counsellors observed patients taking treatment correctly enrolment study
11a,PMC3018567,S60,9207,9288,Randomisation and masking, Treatment allocation masked participants staff study
0,PMC3018567,S62,9330,9455,Procedures, Demographic clinical details blood samples obtained screening stool samples obtained enrolment
5,PMC3018567,S63,9456,9809,Procedures, After enrolment women continued receive standard antenatal care including haematinics tetanus immunisation intermittent presumptive treatment malaria twice first trimester pregnancy women HIV offered intrapartum neonatal single dose nevirapine prevention mother to child vertical HIV transmission 22
5,PMC3018567,S64,9810,9966,Procedures, Stool samples obtained delivery assess effectiveness anthelmintic treatment thereafter mothers received praziquantel albendazole
6a,PMC3018567,S64,9810,9966,Procedures, Stool samples obtained delivery assess effectiveness anthelmintic treatment thereafter mothers received praziquantel albendazole
5,PMC3018567,S65,9967,10174,Procedures, Infants received BCG polio immunisation birth diphtheria pertussis tetanus Haemophilus influenzae hepatitis B polio immunisation 6 10 14 weeks measles immunisation 9 months
0,PMC3018567,S66,10175,10285,Procedures, Children also attended study clinic unwell doctors diagnosed treated recorded illnesses
6a,PMC3018567,S67,10286,10442,Procedures, Community fieldworkers visited participant s home twice month measured child s temperature recorded symptoms reported child s carer
6a,PMC3018567,S68,10443,10551,Procedures, At age 12 months blood stool samples obtained children growth outcomes measured
6a,PMC3018567,S69,10552,10697,Procedures, Children unwell 12 month visit given appropriate treatment asked return complete visit procedures well
6a,PMC3018567,S70,10706,10967,Procedures, The primary outcomes immune response age 1 year BCG tetanus measles immunisation incidence malaria diarrhoea pneumonia measles tuberculosis infancy diagnosed doctors study clinic vertical HIV transmission 18
6a,PMC3018567,S71,10968,11033,Procedures, Planned secondary outcomes growth anaemia age 1 year
6a,PMC3018567,S72,11034,11185,Procedures, Community reported data illness events included secondary outcome comparison doctor diagnosed illness events clinic visits
6a,PMC3018567,S73,11186,11344,Procedures, We also considered two additional unplanned secondary outcomes infant mortality asymptomatic malaria presence malaria parasitaemia 1 year age
6a,PMC3018567,S74,11353,11523,Procedures, Cytokine responses 1 year age crude culture filtrate proteins Mycobacterium tuberculosis cCFP measured indicator response BCG immunisation
6a,PMC3018567,S75,11524,11641,Procedures, Cytokine responses age 1 year tetanus toxoid measured indicator response tetanus immunisation
6a,PMC3018567,S76,11642,11829,Procedures, We examined stimulated interferon   type 1 interleukin 5 type 2 interleukin 13 type 2 interleukin 10 regulatory responses whole blood assay previously described 23
6a,PMC3018567,S77,11830,11930,Procedures, Total serum IgG IgG4 IgE responses tetanus toxoid measured ELISA webappendix p 1
6a,PMC3018567,S78,11939,12077,Procedures, Total serum measles specific IgG measured ELISA Dade Behring Siemens Eschborn Germany according manufacturer s protocol
6a,PMC3018567,S79,12078,12304,Procedures, Immunological assays done samples obtained randomised sequence use computer generated random number sequence avoid confounding secular trends variations assay performance
6a,PMC3018567,S80,12313,12791,Procedures, For primary outcome doctor diagnosed illness events clinical malaria fever temperature parasitaemia diarrhoea infant s carer s definition stool frequency recorded 24 pneumonia cough difficulty breathing age specific fast breathing 25 measles defined standard clinical criteria confirmed measurement specific antibody 26 children suspected tuberculosis investigated clinically indicated 27
6a,PMC3018567,S81,12792,13152,Procedures, For secondary outcome community reported illnesses febrile illness defined measured fieldworkers temperature reported child s carer diarrhoea reported carer stool frequency recorded presumptive pneumonia cough difficulty breathing age specific fast breathing measured fieldworkers
6a,PMC3018567,S82,13161,13458,Procedures, Stool samples examined helminth ova Kato Katz method28 charcoal culture Strongyloides sterocoralis infection 29 two Kato Katz slides prepared sample examined hookworm ova within 30 mins preparation examined next day species
6a,PMC3018567,S83,13459,13588,Procedures, Hookworm Schistosoma mansoni infections classified low medium high intensities according WHO guidelines 30
6a,PMC3018567,S84,13589,13712,Procedures, Blood samples examined modified Knott s method Mansonella perstans31 thick film malaria parasites
6a,PMC3018567,S85,13713,13796,Procedures, Haemoglobin estimated Coulter analyser Beckman Coulter Nyon Switzerland
6a,PMC3018567,S86,13797,14021,Procedures, Quality control Kato Katz analyses provided Vector Control Programme Ministry Health Uganda haematology malaria parasitology UK National External Quality Assessment Schemes
6a,PMC3018567,S87,14030,14087,Procedures, Mothers HIV serology done rapid test algorithm 30
6a,PMC3018567,S88,14088,14216,Procedures, Blood obtained cord 6 weeks age infants mothers HIV assessment vertical HIV transmission
