PMCID,sentence_id,CONSORT_Item,sentence_text
PMC3002834,S53,4a,"Patients with mild anaemia (women: 6.4â€“7.4â€…mmol/l; men: 6.4â€“7.8â€…mmol/l), moderate CKD (estimated creatinine clearance 20â€“70â€…ml/min, Cockcroftâ€“Gault formula) and CHF (functional NYHA class IIâ€“IV, based on symptoms, signs and objective abnormality on echocardiography,15 reduced ejection fraction (<50%) or left ventricular end-diastolic volume index <97â€…ml/m2 with evidence of diastolic left ventricular dysfunction16) were included."
PMC3002834,S55,6a,EPC levels and function were compared between 45 CRS patients at baseline and 20 healthy controls.
PMC3002834,S56,3a,"The effects of EPO treatment were evaluated in an open-label, randomised design."
PMC3002834,S57,5,"Patients received EPO treatment (50â€…IU/kg/week; Neorecormon, Roche Pharmaceuticals, Woerden, Netherlands) or standard treatment without EPO for one year."
PMC3002834,S58,"6a,16","Short-term effects of EPO (n =30) versus no EPO (n =15) were evaluated after 18â€…days (3â€…days after third EPO injection), when EPO treatment was not yet expected to result in a haematopoietic response."
PMC3002834,S59,"6a,16","Long-term (52â€…week) effects of EPO were assessed in a subgroup of EPO-treated patients, who were allowed to increase haemoglobin (Hb) levels up to 8.5â€…mmol/l for men and 8.3â€…mmol/l for women (n =13), and a non EPO-treated group (n =13)."
PMC3002834,S61,6a,"Serum EPO levels were measured by sandwich chemiluminescent immunoassay (IMMULITE 2000 platform, Siemens Healthcare Diagnostics, Breda, Netherlands)."
PMC3002834,S62,6a,"Endothelial dysfunction, EPC mobilising factors and inflammation markers were measured using ELISA (E-selectin, vascular cell adhesion molecule-1 (VCAM-1), interleukin (IL)-6, VEGF, SDF-1Î± (R&D Systems, Minneapolis, Minnesota, USA) and thrombomodulin (Diaclone, Stamford, Connecticut, USA)) or multiplex immunoassay17 (intercellular adhesion molecule-1 (ICAM-1) and monocyte chemotactic protein-1 (MCP-1) (Bio-Rad Laboratories,Hercules, California, USA))."
PMC3002834,S63,6a,"High sensitivity C reactive protein (hsCRP) was determined by particle-enhanced immunonephelometry (standard Cardio-Phase hsCRP for BNII, Dade Behring Holding, Liederbach, Germany)."
PMC3002834,S64,6a,"N-terminal prohormone of brain natriuretic peptide (NT-proBNP) was measured using electrochemiluminescense immunoassay (Cobas CA6000, Roche, Mannheim, Germany)."
PMC3002834,S65,6a,Samples were measured in duplicate and averaged for analysis.
PMC3002834,S67,6a,"Circulating EPC were defined as cells positive for haematopoietic stem cell marker CD34 and endothelial marker kinase insert domain receptor (KDR; ie, VEGF receptor-2)."
PMC3002834,S68,0,This CD34+KDR+-EPC has previously shown clinical importance by predicting cardiovascular events and death in cardiovascular risk populations.18 19
PMC3002834,S69,6a,"Blood (100â€…Î_l) was incubated with anti-CD34-FITC (BD Pharmingen, California, USA), anti-KDR-PE (R&D Systems) and anti-CD45-PE-Cy7 (BD Pharmingen) antibodies for 45â€…min. Erythrocytes were lysed and analysed by flow cytometry (Beckman Coulter, California, USA)."
PMC3002834,S70,6a,Circulating HSC and EPC were identified as CD34+ and CD34+KDR+ cells in the lymphocyte region of the forward/sideward scatter plot.
PMC3002834,S71,6a,"Cell numbers were quantified relative to 105 granulocytes, identified as CD45+ cells with a typical granulocyte distribution."
PMC3002834,S72,6a,Measurements were performed in duplicate and results were averaged.
PMC3002834,S73,6a,Isotype-stained samples served as negative controls.
PMC3002834,S75,6a,EPC outgrowth from mononuclear cells (MNC) was assessed as described previously.3
PMC3002834,S76,6a,"In brief, MNC were isolated from blood using Ficoll density gradient separation (Histopaque 1077, Sigma, St Louis, Missouri, USA)."
PMC3002834,S77,6a,"To evaluate EPC outgrowth in culture, 107 MNC/well were seeded on a human fibronectin (Sigma) coated 6-well plate in EGM-2 (Cambrex, Baltimore, Maryland, USA), supplemented with accompanying aliquots, 20% fetal calf serum (Invitrogen, Carlsbad, California, USA), 100â€…ng/ml recombinant VEGF-165 (R&D Systems) and antibiotics."
PMC3002834,S78,6a,Medium was changed after 4â€…days to wash non-adherent cells away.
PMC3002834,S79,6a,"After 7â€…days, cultured EPC in selected wells were placed on serum free medium (EBM-2 with hEGF, hydrocortisone, GA-1000, R3-IGF-1, ascorbic acid, heparin and antibiotics) overnight."
PMC3002834,S80,6a,"Conditioned medium was stored for functional experiments and cultured EPC were detached by trypsin and cell scraping, and automatically counted using a haemocytometer."
PMC3002834,S82,6a,The potential of EPC outgrowth to excrete paracrine factors that stimulate endothelial cell migration was assessed by in vitro scratch wound assay.20
PMC3002834,S83,6a,"In brief, EPC outgrowth medium was placed on a mechanically scratched confluent human microvascular endothelial cell layer."
PMC3002834,S84,6a,"After 6â€…h, the extent of scratch closure relative to the starting width was compared between study groups using light photography."
PMC3002834,S85,6a,Each sample was measured in two separate wells and two picture fields per well were examined.
PMC3002834,S86,6a,Results were averaged for data analysis.
PMC3002834,S88,12a,Data analysis was performed using SPSS V.15.0 for Windows.
PMC3002834,S89,12a,Data distribution was tested by the Kolmogorovâ€“Smirnov test.
PMC3002834,S90,12a,Data are expressed as mean Â± SD for parametric data and as median (IQR) for non-parametric data.
PMC3002834,S91,12a,Differences between groups were analysed using Student's t test or the Mannâ€“Whitney test.
PMC3002834,S92,12a,Fisher's exact test was used to analyse whether proportions of categories varied by group.
PMC3002834,S93,12a,Multiple group comparisons were performed using ANOVA with LSD post-hoc testing for which non-parametric data were log-transformed.
PMC3002834,S94,12a,Correlations were measured by Pearson's or Spearman's correlation coefficient where appropriate.
PMC3002834,S95,12a,Multivariate determinants of log-transformed progenitor cell counts were identified by stepwise multiple linear regression analysis.
PMC3002834,S96,0,A value of p <0.05 was considered statistically significant.
PMC3016167,S46,25,This study and trial were done without the help of any funding agency.
PMC3016167,S47,0,Anti-scorpion antivenom was purchased from Haffkine Biopharma Mumbai and given to participants in this trial.
PMC3016167,S48,"4a,14a","We proposed to include people admitted with scorpion sting over one year, between March 2009 and February 2010."
PMC3016167,S49,"3a,4b","This was a randomised (1:1 allocation ratio), parallel group, open label, controlled trial conducted at Bawaskar Hospital in Mahad, a region of India with a population of 20â€‰000, situated 180 km south of Mumbai on the Mumbai-Goa highway."
PMC3016167,S50,0,An independent data and safety monitoring board monitored the trial and had access to the all data.
PMC3016167,S51,0,Statistical analysis was done by a statistician in collaboration with the investigators.
PMC3016167,S52,0,The study design was approved by the independent ethics committee of BYL Medical College Mumbai (IEC/08/39) and all participants provided written informed consent.
PMC3016167,S54,6a,The primary efficacy variable was the time required for recovery after venomous scorpion sting.
PMC3016167,S55,7a,"We estimated that 35 patients in each group would be required to achieve 80% power; Î±=0.05 to detect a mean difference of four hours in the recovery time between the groups, assuming a mean recovery time of 10 hours (SD 2.5 hours) in the antivenom plus prazosin group and 14 (SD 3) hours for the prazosin alone group."
PMC3016167,S57,"8a,8b",A statistician generated the sequentially numbered randomisation list with random block sizes of 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www.randomisation.com.
PMC3016167,S58,8a,This process can be reproduced by using seed 22491 (6 March 2009).
PMC3016167,S59,9,"This randomisation sequence was concealed by using sequentially numbered, opaque, sealed, and stapled envelopes."
PMC3016167,S60,10,Envelopes were opened alternately by HSB or PHB after an eligible patient consented to take part in the trial and patients were allocated according to the randomisation label inside the envelope.
PMC3016167,S62,"12a,12b",Demographic factors and clinical characteristics were summarised as counts (percentages) for categorical variables and as mean (standard deviation; SD) for normally distributed continuous variables.
PMC3016167,S63,16,All patients who had been randomly assigned to a treatment group were included in the intention-to-treat analyses.
PMC3016167,S64,"12a,12b","The groups were compared using Ï‡2 test or Fisherâ€™s exact test for categorical variables, unpaired t test for normally distributed continuous variables, and Mann-Whitney U test for other continuous variables."
PMC3016167,S65,12a,We analysed results with SPSS 17 software.
PMC3016167,S66,12b,"Blood pressure and pulse rate were measured at different time points and were repeated factors, and treatment group was included as a between-participant measure."
PMC3016167,S67,0,Î± was set at 0.05.
PMC3016167,S68,"12a,12b",We used the Greenhouse-Geisser P value.
PMC3016167,S70,"4a,14a",Between March 2009 and February 2010 we recruited patients who reported to Bawaskar Hospital and Mahad research centre after being stung by Mesobuthus tamulus (fig 1).2 4 6 31
PMC3016167,S71,0,Fig 1 Indian red scorpion (Mesobuthus tamulus)
PMC3016167,S73,4a,"Patients were eligible for enrolment if they reported to hospital with Mesobuthus tamulus sting of clinical grade 2 severity, with an interval of less than six hours between sting and hospital admission, and were older than six months."
PMC3016167,S74,4a,"Mesobuthus tamulus sting was confirmed if the victim or bystander had seen a red scorpion, had brought in the killed specimen, or recognised the hospitalâ€™s preserved specimen."
PMC3016167,S75,0,"In this way we made sure that Mesobuthus tamulus was not confused with Palamneus gravimanus, a larger scorpion that is less lethal and causes only severe local pain without systemic involvement or transient reversible cardiovascular effects.1 32"
PMC3016167,S76,4a,"Major exclusion criteria were: patient reporting six hours after sting, pregnant women, history of taking prazosin or antivenom, history of bronchial asthma, history of allergic reaction to foreign serum, and refusal to give consent."
PMC3016167,S77,0,Written informed consent was obtained in the local language.
PMC3016167,S78,0,"For illiterate adults, a literate relative of the patient read the statement out loud to them and consent was obtained by thumb impression witnessed by the relative."
PMC3016167,S79,0,Parentâ€™s consent was obtained for minor children.
PMC3016167,S80,0,"The study protocol was approved by the independent ethics committee of Mumbai (registration number 1433/1999G.B.B.S.D, IEC/08/39)."
PMC3016167,S81,0,All people admitted with scorpion sting between March 2009 to February 2010 were insured by the Oriental Insurance Company Limited clinical trial liability cover policy No 111600/48/2009/227.
PMC3016167,S83,0,Cases are graded according to severity of clinical manifestations on arrival at hospital (box).
PMC3016167,S84,0,"Severity of clinical manifestations, morbidity, and mortality depend on the time lapsed between sting and hospital admission, as well as the grade of a case on arrival.5 9 18 33 34"
PMC3016167,S86,0,"Grade 1: severe, excruciating local pain at the sting site radiating along with corresponding dermatomes, mild local oedema with sweating at the sting site, without systemic involvement"
PMC3016167,S87,0,"Grade 2: signs and symptoms of autonomic storm characterised by acetylcholine excess or parasympathetic stimulation (vomiting, profuse sweating from all over body, ropey salivation, bradycardia, premature ventricular contraction, hypotension, priapism in men) and sympathetic stimulation (hypertension with blood pressure >140/90, tachycardia with heart rate >120 per minute, cold extremities, transient systolic murmur)."
PMC3016167,S88,0,"Grade 3: cold extremities, tachycardia, hypotension or hypertension with pulmonary oedema (respiratory rate >24 per minute, basal rales or crackles in lungs)."
PMC3016167,S89,0,"Grade 4: tachycardia, hypotension with or without pulmonary oedema with warm extremities (warm shock)."
PMC3016167,S90,4a,Patients with grade 2 signs and symptoms were included in the present study.
PMC3016167,S91,0,"After giving written consent, all eligible patients were examined by one of the two authors and baseline data were recorded on a standard form."
PMC3016167,S92,0,"Data included age, sex, time between sting and hospital admission, and history of any medication before admission, vomiting soon after sting, or paraesthesia (tingling and numbness in the perioral region, or sometimes reported by the patient to be felt all over the body)."
PMC3016167,S93,0,"One of the authors sat by the side of the patients and closely clinically examined them for signs and symptoms of systemic manifestations: presence of profuse sweating all over the body, ropey salivation, priapism in men, heart murmur, coolness of the extremities."
PMC3016167,S94,6a,"Blood pressure, heart rate, cardiac arrhythmias, respiratory rate, and oxygen saturation were monitored on a multipara monitor."
PMC3016167,S95,6a,"These findings were noted on admission at 00.00, at 30 minutes, and at 1, 2, 4, 6, 8, 10, 14, 18, and 24 hours."
PMC3016167,S96,6a,Subsequent improvement or deteriorations to grade 3 or 4 were closely followed by the author who examined the patient on arrival.
PMC3016167,S97,6a,"Blood was collected from all participants on admission for measurement of haemoglobin, white cell count, and creatine kinase-MB."
PMC3016167,S98,6a,"A 12 lead electrocardiogram (ECG) was done on arrival, after six hours, and before discharge."
PMC3016167,S100,0,"Mesobuthus tamulus is not the only venomous scorpion in the state of western Maharashtra, but it may be the only dangerously venomous scorpion in the Mahad area.24 25"
PMC3016167,S101,0,Haffkine Biopharma (Mumbai) has been manufacturing monovalent anti-scorpion venom serum F(ab)2 against Mesobuthus tamulus since 1997 and it has been available for clinical use in a rural setting since 2002.
PMC3016167,S102,0,Studies conducted at different times show that the antivenom is potent; 1 mL of reconstituted anti-scorpion venom serum neutralised 1.2 mg of Indian red scorpion venom by intravenous route in an in vivo study in mice.35
PMC3016167,S103,0,"The maximum volume of venom injected in one sting by the Indian red scorpion is 1.5 mg, and each mL of antivenom is capable of neutralising 1.2 to 1.5 mg of venom.36"
PMC3016167,S104,5,"A single 30 mL dose of Haffkine Biopharma monovalent antivenom (batch no SS811001, manufacturing date November 2008, expiry date April 2013) was added to 100 mL of normal saline, which was infused intravenously over 30 minutes irrespective of patientâ€™s age."
PMC3016167,S105,5,"During infusion the patient was closely observed for reaction to the serum in the form of sudden onset of vomiting, urticaria, hypotension, tachycardia, bronchospasm, angioneurotic oedema, or anaphylaxis."
PMC3016167,S106,5,"Oral prazosin (batch no ML.NH 138 batch no GK 60372 manufactured 04/2006, expiry 03/2011, and ML.NH 138 batch no GK 80282 manufactured 02/2008, expiry 01/2013) was given at a dose of 250 Âµg in children up age 18 years and 500 Âµg in adults."
PMC3016167,S107,5,The same dose was repeated at intervals of 3 hours until the extremities were cold.
PMC3016167,S108,5,Similar doses were administered in both randomisation groups.
PMC3016167,S109,5,Dehydration owing to vomiting and sweating was corrected by intravenous crystalloid solution.
PMC3016167,S110,5,The prazosin treated group required longer duration and larger volumes of intravenous crystalloid solution than the antivenom plus prazosin group.
PMC3016167,S111,5,Patients who developed grade 3 and 4 symptoms were transferred to the intensive care unit.
PMC3016167,S112,5,Before discharge all participants were immunised for tetanus.
PMC3016167,S114,6a,The primary end point was the proportion of patients achieving resolution of the grade 2 clinical syndrome at the end of 10 hours after administration of the study drugs and prevention of deterioration to grade 3 and 4.18 21 37
PMC3016167,S115,6a,"Secondary end points were time required for complete resolution of clinical syndrome, prevention of deterioration to higher grade, doses of prazosin required within 10 hours and overall, and adverse events."
PMC3018567,S46,0,The study is described in detail elsewhere.18
PMC3018567,S47,4b,"Briefly, the study area was Entebbe Municipality and Katabi subcounty, beside Lake Victoria, Uganda."
PMC3018567,S48,0,"The area is occupied by urban, rural, and fishing communities."
PMC3018567,S49,0,"Helminth infection is highly prevalent in the area,19 and malaria, diarrhoea, and pneumonia are common in young children.20"
PMC3018567,S50,"4b,14a","The study population consisted of pregnant women who presented at the government-funded antenatal clinic at Entebbe General Hospital between April 9, 2003, and Nov 24, 2005, where roughly 70% of pregnant women from the study area received antenatal care.21"
PMC3018567,S51,4a,"Women were included if resident in the study area, planning to deliver in the hospital, willing to know their HIV status, and in the second or third trimester of pregnancy."
PMC3018567,S52,4a,"They were excluded if they had possible helminth-induced pathological changes (haemoglobin <80 g/L, clinically apparent severe liver disease, or diarrhoea with blood in stool), a history of an adverse reaction to anthelmintics, already been enrolled in the trial during an earlier pregnancy, or if the pregnancy was deemed abnormal by a midwife."
PMC3018567,S53,0,"All participants gave written, informed consent."
PMC3018567,S54,0,"Ethics approval was given by the Uganda Virus Research Institute, Uganda National Council for Science and Technology, and London School of Hygiene and Tropical Medicine."
PMC3018567,S56,"8b,5,3a","We used a two-by-two factorial design to randomly assign patients in a 1:1:1:1 ratio to receive simultaneously either single-dose albendazole (440 mg) and single-dose praziquantel (40 mg/kg), albendazole and a praziquantel-matching placebo, an albendazole-matching placebo and praziquantel, or an albendazole-matching placebo and a praziquantel-matching placebo (albendazole and matching placebo, Glaxosmithkline, Brentford, UK; praziquantel and matching placebo, Medochemie Ltd, Limassal, Cyprus)."
PMC3018567,S57,"8a,8b","The randomisation code was generated by the trial statistician with a computer-generated random number sequence, with block size 100."
PMC3018567,S58,9,Treatments were packed in sealed envelopes and labelled with an allocation number by colleagues at the Medical Research Council Unit in Entebbe who did not otherwise contribute to the trial.
PMC3018567,S59,10,Treatments were allocated in numerical order by trained interviewer-counsellors who observed the patients taking the treatment correctly on enrolment to the study.
PMC3018567,S60,11a,Treatment allocation was masked from all participants and staff during the study.
PMC3018567,S62,0,"Demographic and clinical details, and blood samples were obtained at screening; stool samples were obtained before enrolment."
PMC3018567,S63,5,"After enrolment, women continued to receive standard antenatal care, including haematinics, tetanus immunisation, and intermittent presumptive treatment for malaria twice after their first trimester of pregnancy; women with HIV were offered intrapartum and neonatal single-dose nevirapine for prevention of mother-to-child (vertical) HIV transmission.22"
PMC3018567,S64,"5,6a","Stool samples were obtained after delivery to assess effectiveness of anthelmintic treatment; thereafter, all mothers received praziquantel and albendazole."
PMC3018567,S65,5,"Infants received BCG and polio immunisation at birth; diphtheria, pertussis, tetanus, Haemophilus influenzae, hepatitis B, and polio immunisation at 6, 10, and 14 weeks; and measles immunisation at 9 months."
PMC3018567,S66,0,"Children also attended the study clinic when unwell; doctors diagnosed, treated, and recorded their illnesses."
PMC3018567,S67,6a,"Community fieldworkers visited each participant's home twice a month, measured the child's temperature, and recorded symptoms reported by the child's carer."
PMC3018567,S68,6a,"At age 12 months, blood and stool samples were obtained from the children and growth outcomes were measured."
PMC3018567,S69,6a,Children who were unwell at their 12-month visit were given appropriate treatment and asked to return to complete the visit procedures when well.
PMC3018567,S70,6a,"The primary outcomes were immune response at age 1 year to BCG, tetanus, and measles immunisation; incidence of malaria, diarrhoea, pneumonia, measles, and tuberculosis during infancy as diagnosed by doctors at the study clinic; and vertical HIV transmission.18"
PMC3018567,S71,6a,Planned secondary outcomes were growth and anaemia at age 1 year.
PMC3018567,S72,6a,Community-reported data for illness events were included as a secondary outcome for comparison with doctor-diagnosed illness events from clinic visits.
PMC3018567,S73,6a,We also considered two additional unplanned secondary outcomes: infant mortality and asymptomatic malaria (presence of malaria parasitaemia) at 1 year of age.
PMC3018567,S74,6a,Cytokine responses at 1 year of age to crude culture filtrate proteins of Mycobacterium tuberculosis (cCFP) were measured as an indicator of response to BCG immunisation.
PMC3018567,S75,6a,Cytokine responses at age 1 year to tetanus toxoid were measured as an indicator of response to tetanus immunisation.
PMC3018567,S76,6a,"We examined stimulated interferon-Î_ (type 1), interleukin-5 (type 2), interleukin-13 (type 2), and interleukin-10 (regulatory) responses in a whole-blood assay, as previously described.23"
PMC3018567,S77,6a,"Total serum IgG, IgG4, and IgE responses to tetanus toxoid were measured by ELISA (webappendix p 1)."
PMC3018567,S78,6a,"Total serum measles-specific IgG was measured by ELISA (Dade Behring/Siemens, Eschborn, Germany) according to the manufacturer's protocol."
PMC3018567,S79,6a,"Immunological assays were done after all samples had been obtained, in a randomised sequence (by use of a computer-generated random number sequence), to avoid confounding of secular trends with variations in assay performance."
PMC3018567,S80,6a,"For the primary outcome, doctor-diagnosed illness events, clinical malaria was fever (temperature â‰¥37Â·5Â°C) with parasitaemia; diarrhoea was an infant's carer's definition, with stool frequency recorded;24 pneumonia was cough with difficulty in breathing, and age-specific fast breathing;25 measles was defined by standard clinical criteria and confirmed by measurement of specific antibody;26 and children with suspected tuberculosis were investigated as clinically indicated.27"
PMC3018567,S81,6a,"For the secondary outcome, community-reported illnesses, febrile illness was defined as measured by fieldworkers (temperature â‰¥37Â·5Â°C) or as reported by the child's carer; diarrhoea as reported by the carer, with stool frequency recorded; presumptive pneumonia was cough with difficulty in breathing, or age-specific fast breathing as measured by fieldworkers."
PMC3018567,S82,6a,"Stool samples were examined for helminth ova with the Kato-Katz method28 and by charcoal culture for Strongyloides sterocoralis infection;29 two Kato-Katz slides were prepared from each sample and examined for hookworm ova within 30 mins of preparation, or examined the next day for other species."
PMC3018567,S83,6a,"Hookworm and Schistosoma mansoni infections were classified into low, medium, and high intensities according to WHO guidelines.30"
PMC3018567,S84,6a,Blood samples were examined by a modified Knott's method for Mansonella perstans31 and by thick film for malaria parasites.
PMC3018567,S85,6a,"Haemoglobin was estimated by Coulter analyser (Beckman Coulter, Nyon, Switzerland)."
PMC3018567,S86,6a,"Quality control for Kato-Katz analyses was provided by the Vector Control Programme of the Ministry of Health, Uganda, and for haematology and malaria parasitology through the UK National External Quality Assessment Schemes."
PMC3018567,S87,6a,Mothers' HIV serology was done by rapid test algorithm.30
PMC3018567,S88,6a,Blood was obtained from cord and at 6 weeks of age from infants of mothers with HIV for assessment of vertical HIV transmission.
PMC3018567,S89,6a,Plasma and whole blood cell pellet were separated by centrifugation and stored at âˆ’80Â°C until assays were done.
PMC3018567,S90,6a,"For detection of HIV-1 proviral DNA in infants at 6 weeks, DNA was extracted from stored whole blood cell pellets and amplified by nested PCR of three conserved viral regions, tat, gp41, and nef (webappendix p 1)."
PMC3018567,S91,6a,"For both cord and 6-week samples, plasma HIV load was measured with Bayer Versant branched DNA assay version 3.0 (Bayer, Leverkusen, Germany) or Roche Amplicor HIV-1 RNA Monitor test version 1.5 (Roche, NJ, USA)."
PMC3018567,S92,6a,"Infants were regarded as being HIV positive if the 6-week sample had a positive DNA PCR for any of the viral regions and a viral load of 1000 copies per mL or more; for four infants, only viral load data were available, so they were used to establish HIV status."
PMC3018567,S93,0,"Viral load and DNA-PCR results were concordant apart from one infant (viral load 6699 copies per mL, PCR negative) who was seronegative by rapid test algorithm at age 18 months and was classified as HIV negative."
PMC3018567,S94,6a,"In infants with HIV infection, transmission was regarded as likely to have been intrauterine if the viral load in cord blood was 1000 copies per mL or more."
PMC3018567,S96,0,Analysis was done after all children were older than 15 months.
PMC3018567,S97,0,"Data for samples and measurements obtained at routine, 1-year visits were included if the child attended within 2 months after their first birthday."
PMC3018567,S98,0,Data for illness events and mortality were censored strictly at 1 year.
PMC3018567,S99,0,Results for younger twins were excluded from all analyses.
PMC3018567,S100,7a,"On the basis of our preliminary study,32 the planned cohort size of 2500 was expected to accrue 1860 person-years of follow-up in infancy and 1594 infants were expected to be seen at age 1 year."
PMC3018567,S101,7a,"For either maternal treatment, assuming no interaction between treatments, this number would give 80% power to detect rate ratios of 0Â·82 for malaria, 0Â·91 for diarrhoea, and 0Â·76 for pneumonia, with p values of less than 0Â·05, assuming frequency of disease in the placebo groups to be 50 per 100 person-years for malaria,33 190 per 100 person-years for diarrhoea,34 and 25 per 100 person-years for pneumonia.35"
PMC3018567,S102,0,"Incidence of both tuberculosis and measles was expected to be low,18 therefore only very large differences in incidence would be detected."
