CONSORT_Item,PMCID,sentence_id,start_char_pos,end_char_pos,clean_sentence_text
6a,PMC4621368,S72,10524,10628, Finally post hoc examined treatment effect time point using high sensitive cTnI assay
11a,PMC3489506,S55,7183,7272, All trial staff participants blind treatment allocation throughout trial
6a,PMC3128457,S88,11994,12116, Adverse events serious unexpected suspected related study treatment reported separately
12a,PMC4621368,S67,9692,9790, LVEF mass analysed using QMass software Medis Medical Imaging Systems Netherlands
4a,PMC3386495,S52,8022,8179, The system would accept patients blood pressure glucose levels outside protocol defined criteria appendix pp 4  5 data inconsistencies
0,PMC3321505,S63,11676,11896, The proportion patients developing ulcers also prespecified assessed following subgroups use low dose aspirin and or anticoagulants prior ulcer history age vs 65  years gender race
4a,PMC3489506,S37,4733,4870, Children required free drugs could cause sleepiness taken melatonin within preceding five months
10,PMC3623038,S42,5314,5438, The 1    1 assignment sequence based computer random number generator produced Department Biostatistics
0,PMC5418559,S77,13696,13821, This ensured whole partial block sizes allocated facilitating even distribution patients amongst dose group
0,PMC4893154,S36,5702,6072, Our proof concept study using inclusion exclusion criteria protocol VINDICATE previously demonstrated efficacy 4 000 IU daily achieve positive remodeling significant reductions left ventricular end diastolic volume LVEDV left ventricular end systolic volume LVESV left ventricular end diastolic dimension LVEDD
6a,PMC3128457,S81,10472,10748, The primary outcome total haemorrhage growth defined difference combined volume mL intracranial haemorrhagic lesions intra parenchymal haematoma  haemorrhagic contusion  subdural haematoma  epidural haematoma first second scan
6a,PMC4392313,S79,10408,10572, The primary objective investigate effect 12  weeks treatment TCZ PWV small LDL particle number assessed NMR compared placebo
10,PMC5418559,S76,13461,13695, The interactive web response system determined drug package center administer patient based randomization schedule treatment allocated using block size four within study site
7b,PMC5064025,S89,12847,12957, The interim analyses performed independent personnel directly associated study  s conduct
0,PMC3036630,S47,5749,6113, Patients asked withhold strenuous exercise smoking 6 hrs eating 2 hrs caffeine short acting bronchodilators 8 hrs long acting bronchodilators 48 hrs short acting anti cholinergics 24 hrs long acting anti cholinergics anti histamines 72 hrs leukotriene antagonists 4 days prior mannitol challenge
6a,PMC5264229,S75,9194,9266, Serum infliximab concentrations determined using validated ELISA
4a,PMC3002766,S52,7349,7475, Patients also excluded received systemic antibiotics treat infected DUs within 2 weeks prior randomisation
0,PMC3668094,S80,11396,11462, This analysis repeated giving samples value 0
4b,PMC4770816,S38,5175,5299, Patients recruited 106 general practices 99 contributed least one patient England 2009 11
4a,PMC3016167,S73,9217,9452, Patients eligible enrolment reported hospital Mesobuthus tamulus sting clinical grade 2 severity interval less six hours sting hospital admission older six months
6a,PMC3756454,S60,9260,9390, Briefly studies performed quiet temperature controlled environment patient supine position throughout
0,PMC4770816,S43,6070,6250, The remainder sent letter inviting attend study clinic appointment held general practice research nurse written informed consent obtained
6a,PMC3242163,S44,6302,6478, Further details sought participants family doctors plus necessary hospital records reports might relate major vascular events deaths
6a,PMC3551223,S64,9558,9637, Radiographs hands wrists feet obtained baseline week 24
7a,PMC4145439,S80,9914,10114, Power sample size calculations based upon simulations change baseline DAS28 assessed postbaseline visits using MMRM method specified primary efficacy analysis
8a,PMC3386495,S78,12588,12696, Additional details procedures used double blinded phase study reported elsewhere 11
3a,PMC3321505,S35,6345,6693, Patients randomly assigned using computer generated randomization schedule central location utilizing interactive voice response system blinded medication kit number allocation 2 1 ratio identical appearing tablets HZT 501 800  mg ibuprofen 26 6  mg famotidine ibuprofen 800  mg thrice daily 24 weeks
6a,PMC4469977,S96,13608,13726, Adverse reactions study drugs  adverse events possibly probably definitely related study drug
0,PMC3076731,S84,11758,11829, Equally separate summary curves constructed trial arm
5,PMC3076731,S58,7903,7990, Treatment growth hormone oxandrolone continued final height reached
12a,PMC5033259,S73,11619,11761, Whole brain regressions used examine brain activations baseline week 0 related changes weight BMI caloric intake
0,PMC3128457,S44,5750,5871, Consent procedures participating hospitals established local regulation appropriate ethics committees
7a,PMC5264229,S79,9552,9664, The equivalence margin determined using data several INF studies4 18 19 regulatory guidelines 20 21
11a,PMC3242163,S36,5029,5333, To allow unbiased assessment subsequent long term effects participants doctors made aware previously allocated study treatment unless particular request 15 participants unblinded 18 simvastatin allocated vs 13 placebo allocated
6a,PMC3128457,S72,9361,9432, To obtain volume cm3 final product A B C divided 2
12a,PMC4469977,S108,15112,15503, Secondary outcomes analysed using Cox regression models time event outcomes linear regression models dermatology life quality index EQ 5D EQ VAS adjusted baseline values self reported pain summarised using area curve proportional odds models ordered categorical outcomes logistic regression models binary outcomes
0,PMC3128457,S111,14655,14725, Covariates included adjustment Glasgow coma scale age
0,PMC3016167,S50,6653,6752, An independent data safety monitoring board monitored trial access data
0,PMC3551223,S50,7402,7560, Patients randomly assigned either add on switch strategy group see supplementary data available online study design schematic
6a,PMC3266479,S65,8330,8522, If patient developed tachycardia heat rate 140 beats per min new arrhythmia lactic acidosis adjusted infusion rate according prespecified dose adjustment schedule 15
4a,PMC5529963,S37,4217,4737, In addition eligible patients required either erosion MCP joint demonstrated plain radiography cortical break irregular margins contour greyscale ultrasound longitudinal transverse scanning planes ii erosions MCP joints cortical breaks irregular margins contour greyscale ultrasound either transverse longitudinal plane associated strong vascular signal power Doppler mode site cortical break 7
0,PMC3391717,S88,11107,11226, The sponsor role study design data collection data analysis data interpretation writing report
0,PMC3266479,S81,11079,11134, All analyses based intention to treat analyses
6a,PMC3686261,S54,7938,8038, Employment status either employed unemployed collected baseline weeks 52 104
0,PMC3944682,S42,6425,6521, The web figure uses example group prescription illustrate randomisation process
12a,PMC4215282,S95,14097,14268, The test null hypothesis based negative binomial regression model treatment group four level nominal covariate per protocol analysis set
12a,PMC3348565,S94,14817,14949, Data entered Microsoft Access database version 2007 data processing analysis done STATA version 11 0
6a,PMC3128457,S54,7168,7311, The individual ratings measurements recorded rating form developed purposes study shown appendix bmj com
9,PMC3391717,S52,6193,6342, The pharmacy produced identical sequentially numbered randomly assigned boxes study medication containing either magnesium sulphate placebo
3a,PMC3266479,S37,3869,4045, We undertook multicentre pragmatic double blind placebo controlled parallel group randomised trial 46 UK intensive care units December 2006 March 2010
12a,PMC4213545,S62,10602,10661, Statistical analyses performed using SAS  version 9 2
0,PMC3489506,S72,9994,10095, Melatonin hormone produced pineal gland circadian rhythm influenced light levels
6a,PMC5099201,S61,8685,8835, Safety endpoints including incidence AEs serious AEs infections specific laboratory abnormalities analysed treated patients
6a,PMC3551223,S78,12389,12745, Other outcome measures week 24 included mean changes DAS28  ESR selected variables eg swollen joint count tender joint count ESR CRP HAQ  DI RAQoL percentage patients improved 24 weeks study according ACR20 50 70 90 EULAR response percentage patients DAS28 3 2 low disease activity state
5,PMC4085478,S57,7823,7996, The study interventions consisting three different doses LT 02 0 8 1 6 3 2  g tested placebo provided sequentially numbered containers
0,PMC3420230,S105,18244,18419, Women clinicians informed mean baseline itch score visual analogue scale 60 mm analysis blinded data offered choice answers
0,PMC4392313,S64,8801,8860, placebo MTX 65 TCZ MTX patients completed 12  weeks
6a,PMC3242163,S42,5993,6092, Follow up participants complete questionnaires sought family doctors
0,PMC4431679,S53,7877,8044, Dosing based pharmacokinetic study showing lower dose resulted inhibition killing S aureus dose used previous trial 23 29
0,PMC3386495,S54,8441,8546, To eligible join trial participating hospitals organised system stroke care
0,PMC3391717,S84,10584,10784, We updated previous Cochrane meta analysis5 results MASH 2 eligible randomised trials published since start MASH 2 last update Cochrane review 18  20
10,PMC4515982,S56,7215,7403, The Neuroepidemiology Unit coordinating centre independent study generated computer based randomisation sequence known two staff persons drug dispenser
12a,PMC5264229,S95,11938,12025, General statistical analysis done using SAS V 9 2 SAS Cary North Carolina USA
0,PMC3391717,S60,7232,7418, An intravenous magnesium dosing regimen 64 mmol per day aneurysmal subarachnoid haemorrhage safe maintains serum magnesium concentrations 1  0 2  0 mmol L 13
5,PMC3242163,S34,4625,4857, At final follow up May  October 2001 participants encouraged continue allocated study treatment unless contraindicated study results sent family doctors Nov 11 2001
0,PMC3242163,S59,9559,9679, The trial designed conducted analysed interpreted investigators independently funding sources
6a,PMC3756454,S57,8989,9091, Haematocrit white cell count determined using automated Coulter counter Beckman Coulter
5,PMC3489506,S45,5885,6253, At four weekly intervals child  s sleep pattern recorded sleep diary reviewed dose increased next dose increment basis child fulfilled sleep disorder eligibility criteria received least five possible seven doses preceding week experienced serious adverse events
0,PMC4515982,S59,7602,7660, The sequence always available emergency unmasking
0,PMC3016167,S78,10178,10343, For illiterate adults literate relative patient read statement loud consent obtained thumb impression witnessed relative
7a,PMC3420230,S121,21124,21285, The target sample size initial phase determined 90 participants allow reasonably precise estimates variables main trial
4a,PMC3489506,S40,5223,5467, Sleep monitored registration period using sleep diaries completed parents children randomised continued fulfil eligibility criteria sleep disorder criteria evident sleep diaries
4b,PMC5064025,S45,6577,6802, The study undertaken 9 centers Canada United Kingdom the  United States Germany Israel compliance principles Declaration Helsinki and  according Good Clinical Practice guidelines
11b,PMC4085478,S78,10524,10614, Pellets sachets containers completely indistinguishable treatment arms
5,PMC5009486,S57,8907,9026, Open label tiotropium 18   g Spiriva  HandiHaler  DPI administered daily QD included active control
0,PMC3128457,S121,15701,15852, To evaluate clinical relevance primary surrogate outcome selected study also analysed clinical effect haemorrhage growth
10,PMC4770816,S46,6516,6598, The research nurse ascertained treatment allocation either telephone online
6a,PMC3109952,S68,9233,9362, If photographs available participant however blinded outcome assessment undertaken site used
3a,PMC4213545,S39,6103,6212, The study comprised 2 3 week run in period prior 24 week double blind treatment period Figure  1
12a,PMC3641608,S80,14750,14868, Change CD4 percentage compared normal linear regression adjusted randomisation stratification factors
0,PMC3944682,S68,10596,10741, We chose symptom severity key outcome recent systematic review documented worse symptom control delayed prescription 8
0,PMC4085478,S106,14933,15142, It used compare effects placebo individual dose groups fixed sequence starting highest dose group 3 2  g LT 02 daily followed lower dose groups descending order
6a,PMC4902320,S64,8192,8234, The primary endpoint incidence ABT
0,PMC3348565,S61,8157,8425, Our study approved ethics review board Ministry Public Health Afghanistan reference 422328 issued May 12 2007 ethics committee London School Hygiene Tropical Medicine application number 5117 issued May 29 2008
0,PMC4085478,S48,6553,6610, 5 ASA 5 aminosalicylic acid AE adverse event Discont
0,PMC4215282,S66,9564,9615, Patient numbers all treated population
12a,PMC3028347,S92,14839,14962, The reported primary data analyses prespecified analyzed using SPSS Windows version 14 0 SPSS Chicago IL
6a,PMC4515982,S78,10548,10586, ALSFR R sVC assessed monthly
5,PMC3391717,S64,7880,7984, Investigators checked renal function least every 2 days prevent symptomatic hypermagnesaemia
5,PMC3489506,S47,6348,6432, Step dose possible adverse effects experienced higher dose
6a,PMC3028347,S86,13972,14166, Measurements BMI blood pressure liver function plasma lactate serum vitamin B12 obtained visit along interim history obtained using structured list queries
12a,PMC3686261,S61,8949,9279, At weeks 52 104 associations TA DAS28 tertiles changes baseline JE JSN compared patients received ADA MTX combination therapy adalimumab monotherapy methotrexate monotherapy within treatment groups using analysis variance van der Waerden normal scores 26
7b,PMC4431679,S69,10706,10872, We interim analyses primary safety outcome recruitment one third two thirds patients stopping boundaries two sided level P 0 01
12b,PMC5064025,S85,12214,12490, When log transformation change baseline possible negative values analysis covariance conducted log transformed 3 12 month data including glycemic index status factor log transformed baseline covariate
7a,PMC3623038,S68,9181,9287, With power 80 type I error 5 total sample size found 17 patients per group
9,PMC3944682,S57,8769,9041, We made simple execute randomisation delivery health professional took next pack shelf contained pre randomised advice sheets requirement  and hence error  in finding using correct advice sheets
0,PMC3028347,S109,17681,17741, Reports adverse events also examined exact tests
5,PMC5009486,S49,7491,7797, Patients using oral inhaled LABAs LABA ICS combination inhalers phosphodiesterase inhibitors mast cell stabilizers leukotriene antagonists tiotropium discontinued duration trial instead received open label ipratropium four times daily run in period
12b,PMC4145439,S83,10318,10394, Non linear mixed modelling employed analysis OKZ PK data
5,PMC5009486,S64,9826,9941, During study albuterol sulfate salbutamol HFA Ventolin  MDI permitted needed relief symptoms
6a,PMC3551223,S61,9006,9277, At baseline every 4 weeks thereafter following parameters assessed tender joint count swollen joint count health assessment questionnaire  disability index HAQ  DI patient s global assessment physician s global assessment C reactive protein CRP ESR
0,PMC3076731,S75,10499,10601, The study formally powered detect significant interaction two randomisations
6a,PMC5099201,S59,8342,8561, As sensitivity analysis percentage patients remission according simplified disease activity index SDAI clinical disease activity index CDAI substitution DAS28 analysed
6a,PMC5418559,S83,14581,14718, The average weekly scores efficacy variables calculated observed number responses without standardization
6a,PMC4145444,S69,8586,8739, The primary outcome combined attainment radiographic score 1 5 less serum alkaline phosphatase concentration 350  U L less
7a,PMC5418559,S85,14830,15051, A sample size 90 patients treatment group expected provide 80 power detect difference 20 CSBM responder rate placebo group least one tenapanor treatment groups
6a,PMC3018567,S80,12313,12791, For primary outcome doctor diagnosed illness events clinical malaria fever temperature parasitaemia diarrhoea infant s carer s definition stool frequency recorded 24 pneumonia cough difficulty breathing age specific fast breathing 25 measles defined standard clinical criteria confirmed measurement specific antibody 26 children suspected tuberculosis investigated clinically indicated 27
6a,PMC3623038,S61,8112,8245, Adverse events arterial blood pressure values electrocardiogram standard blood biochemistry profile recorded monthly
0,PMC3386495,S96,16045,16303, All IST 3 monitoring procedures compliant requirements study sponsors national ethics committees regulatory agencies 12 participating countries met appropriate regulatory Good Clinical Practice requirements
4a,PMC4893154,S29,3858,4466, Patients ineligible taking taken calcium vitamin supplements last 3 months chronic HF due untreated valvular heart disease anemia thyrotoxicosis existing indications vitamin D supplementation e g previous osteoporotic fracture symptoms osteomalacia history primary hyperparathyroidism sarcoidosis tuberculosis lymphoma cholecalciferol concentration time screening 50 nmol l 20 ng ml significant renal dysfunction estimated glomerular filtration rate  30 ml min
0,PMC4469977,S98,13769,13845, This superiority trial prednisolone control intervention
0,PMC4392313,S85,11447,11517, Only measurements recorded escape therapy carried forward
11a,PMC4215282,S50,7409,7555, The investigators sponsor blinded lymphocyte count results first dose effects ponesimod unless alerted safety reasons
6a,PMC4797126,S82,13280,13402, The maximum specific IgE defined specific IgE highest titer specific IgEs pre dose patient
12a,PMC3551223,S72,10970,11261, Specifically primary endpoint well similar endpoints logistic regression model employed including stratification factors used randomisation site baseline DAS28 5 5 supportive Cochran  Mantel  Haenszel test stratified parameters
6a,PMC3002834,S84,10338,10468, After 6  h extent scratch closure relative starting width compared study groups using light photography
7a,PMC4085478,S98,13695,13854, Data dose finding study 19 showed relative effect size SCCAI could expected 3 2  g dose group compared placebo
0,PMC3502035,S69,12811,13111, We explicitly acknowledged enhanced form usual care given participants already subject clinical profiling identified blood pressure target doctors potentially knowledge intervention inherent problem contamination
0,PMC3076731,S70,9803,9923, Data collection ceased participants withdrew consent although included previously collected data analysis
12a,PMC3018567,S109,17575,17741, Results transformed log10 concentration 1 analysed linear regression bootstrapping estimate bias corrected accelerated confidence intervals 36
12a,PMC3590447,S82,12587,12742, We analysed time 20 decline renal function log rank test calculated hazard ratios HRs Cox proportional hazards regression
3a,PMC4066691,S46,7165,7453, After initial screening visit 4 week run in period patients randomised one four treatment sequences received four treatments tiotropium 5   g 2 5   g 1 25   g placebo delivered via Respimat  SoftMist  inhaler Figure  1
0,PMC3641608,S49,8825,8885, HIV viral loads done retrospectively stored samples
6a,PMC4085478,S94,13043,13152, Time symptom resolution defined first 3 days stools per day without visible blood 21
11a,PMC3128457,S99,13445,13540, All site investigators trial coordinating centre staff masked treatment allocation
0,PMC5529963,S47,5905,6006, At end first year patients maintained single blinded study year
12a,PMC3420230,S126,21978,22135, For repeated measurements time severity itch biochemistry used average arithmetic geometric mean intervention period 19
6a,PMC4797126,S75,12128,12303, Serum levels quilizumab pharmacokinetic assessments measured using validated enzyme linked immunosorbent assay ELISA Genentech Inc South San Francisco CA
5,PMC3109952,S59,8465,8592, The treatment repeated daily gently pumicing filing dead part verruca maximum eight weeks
4a,PMC3028347,S38,5718,5904, Children excluded impaired fasting glucose diabetic reported diagnosed renal cardiac endocrine pulmonary hepatic disease might alter body weight
0,PMC4145439,S52,6274,6359, Two safety follow up visits undertaken 6 12  weeks last study dose
0,PMC3242163,S53,8304,8556, The results in trial analyses differ slightly previously published findings2 3 inclusion events taking place participants final follow up visit Nov 11 2001 mean extra follow up 3  5 months SD 1  4
5,PMC3551223,S52,7671,7752, All patients received open label tocilizumab 8 mg kg intravenously every 4 weeks
12a,PMC4145444,S73,9400,9567, Unless otherwise noted means SDs reported continuous variables normal distributions medians reported non normally distributed variables
4a,PMC3321505,S32,5025,5183, Male female patients aged 40  80 years expected require daily NSAID therapy least 6 months pain and or inflammatory conditions eligible
12a,PMC4066691,S92,14449,14541, The pre specified hypotheses tested using mixed effects model repeated measures
6a,PMC3489506,S81,10926,11009, A paediatrician physically examined children screening final visits
0,PMC3018567,S107,17235,17459, For vertical HIV transmission analysis included children whose mothers receiving highly active antiretroviral therapy blood samples age 6 weeks available second born twins excluded
6a,PMC4085478,S92,12396,12942, We assessed following secondary priori defined end points exploratory sense complete remission 3 mean SCCAI 26 stool  subscore 0 see European Crohn s Colitis Organization ECCO definition remission 21 LOCF partial remission SCCAI 5 LOCF clinical response SCCAI decrease 26 mucosal healing endoscopic Mayo Score EMS achievement mucosal healing EMS V5 improvement EMS V2 V5 patients complete remission frequency  subscore 0
5,PMC3756454,S48,7186,7376, Given plasma half life approximately 70  h 16 judged 24  h would appropriate time point capture potential beneficial cardiovascular effects intravenous etanercept
5,PMC3641608,S51,9128,9229, The NNRTI nevirapine efavirenz chosen clinicians according local availability age
0,PMC5418559,S70,12460,12587, They reported patient spontaneously and or response open question study personnel site visit
12a,PMC5418559,S93,16561,16823, CMH pairwise comparison tests tenapanor doses vs placebo used evaluate abdominal pain responder rate composite responder rate responder rates abdominal symptoms abdominal bloating cramping discomfort fullness
6a,PMC3756454,S80,11960,11996, The primary outcome measure PMA
12a,PMC3391717,S83,10473,10583, We compared distributions modified Rankin Scale scores non parametric Mann Whitney U test
10,PMC3944682,S55,8396,8615, We assessed evidence subversion randomisation monitoring order use envelopes evidence selective envelope use baseline table showed groups well balanced
0,PMC3076731,S41,5367,5423, All participants  parents gave written informed consent
0,PMC3018567,S99,15733,15791, Results younger twins excluded analyses
0,PMC4469977,S103,14494,14554, We prespecified analyses statistical analysis plan
6a,PMC4392313,S59,8325,8430, Open label assessments performed every 12  weeks week 104 ClinicalTrials gov number NCT00535782
8a,PMC4392313,S55,7555,7842, Patients randomly assigned using interactive voice response system blinded patient treating clinical team intravenous treatment TCZ 8  mg kg placebo 1 1 ratio combination oral MTX every 4  weeks 6  months November 2007 June 2008
0,PMC4431679,S70,10881,10931, We primary analysis intention treat
12a,PMC3756454,S79,11813,11959, Analysis variance repeated measures two tailed Student test performed appropriate use GraphPad Prism software
12a,PMC3028347,S97,15692,15873, The imputation datasets obtained using sequential chain 1 200 iterations using initial parameter estimates supplied running expectation maximization EM algorithm
8b,PMC3266479,S52,6252,6368, Randomisation minimised centre PaO2 FIO2 ratio 51  99 mm  Hg age 64 65  84 years
4b,PMC3036630,S43,4952,5081, Thirty two patients mild moderately severe COPD included two respiratory clinics Amsterdam The Netherlands
12a,PMC5529963,S98,12838,13058, Post hoc multivariate analysis variance ANOVA modelling performed evaluate effects treatment infliximab vs placebo duration treatment HDL function CV clinical markers 54  weeks
7a,PMC3391717,S75,9313,9426, To allow reliable detection slightly smaller effect risk ratio 0  78 decided enrol 1200 patients
6a,PMC4215282,S89,12730,12971, Relapse defined occurrence acute episode one new symptoms worsening existing symptoms MS associated fever infection lasting least 24  h stable period least 30  days
6a,PMC3128457,S69,8972,9082, The linear distance cm corner epidural lens shape used determine length A
0,PMC5264229,S70,8564,8675, It accommodates measures ADA incidence individual time point may subject variation
4a,PMC4145439,S61,7492,7734, Major exclusion criteria included diagnoses inflammatory arthritis non inflammatory type arthritis interfered efficacy evaluations functional capacity Steinbrocker Class IV 24 prior exposure IL 6 inhibitors
4a,PMC4431679,S47,6211,6396, Patients polymicrobial infections could included except involving meticillin susceptible S aureus mandating treatment vancomycin trimethoprim sulfamethoxazole
0,PMC3016167,S79,10344,10393, Parent  s consent obtained minor children
6a,PMC3756454,S71,10806,10926, Immunolabelling performed whole blood avoid artefactual platelet activation caused purification procedures
12a,PMC5418559,S88,15517,15631, A closed testing procedure used control experiment wise type I error rate 5 significance level
6a,PMC3002766,S64,9126,9205, Healing defined complete epithelialisation regardless residual pain
4a,PMC3036630,S45,5127,5412, Inclusion criteria symptoms dyspnea chronic cough sputum production current ex smoker least 20 packyears smoking history postbronchodilator FEV1 1 5 liter 50 predicted value FEV1 FVC 0 70 clinically stable 4 weeks prior recruitment
0,PMC4770816,S80,11536,11647, For clinical event analyses censored patients time first event relevant analysis
6a,PMC3944682,S73,11260,11347, Patients telephoned days 2 3 check problems diary completion
6a,PMC4893154,S44,7077,7204, Each patient also underwent echocardiography blood sampling serum calcium serum creatinine vitamin D PTH levels
6a,PMC3756454,S67,10360,10530, The following antibodies used IgG1 FITC CD14 PE CD42a FITC IgG2a PE CD62P PE IgG1 PE eBioscience Ltd UK CD14 RPE IgG1 RPE DakoCytomation Denmark
7a,PMC3944682,S85,12980,13114, We calculated sample size based value 0 05 value 0 2 using NQuery program multiple group sample sizes
6a,PMC5529963,S76,9811,10024, ESR spectra recorded addition spin probe 1 hydroxy 3 methoxycarbonyl 2 2 5 5 tetramethylpyrrolidine CMH Noxygen final concentration 200   M using Bruker e scan spectrometer Bruker Biospin
6a,PMC4893154,S41,6667,6950, Key pre specified secondary endpoints included cardiac structure function safety endpoints serum calcium concentration renal function vitamin D levels   Hypervitaminosis D defined 25 OH D3 200  nmol l 80  ng ml hypercalcemia 2 6 nmol l 10 4  mg dl
6a,PMC3036630,S60,7412,7587, Diffusion capacity lung carbon monoxide DL CO measured according recommendations using single breath method corrected haemoglobin 17
7a,PMC5064025,S79,11279,11468, To detect 35 change aortic distensibility 11 change plaque burden 12 months achieve power 0 8 nominal p  0 05 2 sided 60 patients per group required
5,PMC4431679,S58,8448,8556, Concomitant antibiotics combination vancomycin co trimoxazole could administered
7a,PMC4893154,S66,9805,9969, A trial iron supplementation similar patient group demonstrated improvements 30 40 could expected type intervention 24
8a,PMC5064025,S55,8283,8440, Patient groups assigned centrally according validated computer generated randomization code stratified according glycemic status T2DM IGT
12a,PMC3028347,S94,15130,15340, Using Lan DeMets implementation O  Brien Fleming method critical two tailed values defined look P value 0 04515 considered significant end study
4a,PMC3590447,S42,6195,6859, Inclusion criteria age 18  75 years biopsy proven diagnosis membranous nephropathy impose limit time since biopsy regarded idiopathic evidence underlying cause drugs infections tumours serum plasma creatinine concentration less 300 together 20 greater decline excretory renal function measured creatinine clearance estimated Cockcroft Gault calculation later Modification Diet Renal Disease MDRD formula13 based least three measurements period 3 months longer within 2 years study entry
3a,PMC4469977,S41,5243,5408, We carried multicentre parallel group observer blind randomised controlled trial compare efficacy safety ciclosporin prednisolone
12a,PMC3128457,S118,15462,15518, Binary outcomes analysed using logistic regression
0,PMC4797126,S56,7978,7996, Inclusion criteria
5,PMC3502035,S58,10655,10973, Eligible participants began standard 28 day run in period treatment open label oral valsartan 80 mg daily mandatory blood pressure check 14 days start treatment determine need immediate rescue randomisation systolic blood pressure mm Hg clinically indicated
5,PMC3103669,S43,6081,6415, Eligible patients subsequently randomised 1 1 1 1 1 1 2 receive single dose canakinumab 25 mg 50 mg 100 mg 200 mg 300 mg day 1 four canakinumab doses administered 4 weekly intervals 50 mg day 1 week 4 25 mg weeks 8 12 daily oral doses colchicine 0 5 mg given 16 weeks
5,PMC3109952,S58,8422,8464, The plaster sealed position
3a,PMC3109952,S38,5201,5350, This multicentre two arm randomised controlled open trial carried 13 centres United Kingdom one Republic Ireland
4b,PMC3502035,S39,7863,8064, Study participants recruited 260 general practitioners 119 general practices distributed throughout every state territory Australia except sparsely populated Northern Territory
4a,PMC3623038,S30,3600,3835, Consecutive patients diagnosed according Gibb s criteria9 monitored Lille University Hospital s PD clinic invited participate study CM AD LD DD required number participants obtained
12a,PMC3502035,S95,17685,17879, Stratification status fit categorical variable three blood pressure target groups mm Hg mm Hg mm Hg based participant  s clinical profile
0,PMC4145444,S47,6006,6100, Energy mineral intakes calculated using food composition tables African foods 6  8
6a,PMC3266479,S71,9326,9487, The number ventilator free days zero patients died without start unassisted breathing 48 consecutive hours unassisted breathing 20
3a,PMC3103669,S39,5350,5515, This 24 week dose ranging multicentre double blind double dummy active controlled study approved responsible independent ethics committees
0,PMC3016167,S93,12765,13029, One authors sat side patients closely clinically examined signs symptoms systemic manifestations presence profuse sweating body ropey salivation priapism men heart murmur coolness extremities
6a,PMC3018567,S91,14543,14755, For cord 6 week samples plasma HIV load measured Bayer Versant branched DNA assay version 3 0 Bayer Leverkusen Germany Roche Amplicor HIV 1 RNA Monitor test version 1 5 Roche NJ USA
0,PMC3128457,S40,4941,5028, The aims methods results CRASH 2 trial presented detail elsewhere 2
4a,PMC5064025,S49,7033,7366, Patients ages 18 74 years eligible inclusion clinically evident atherosclerotic vascular disease previous myocardial infarction history angina carotid stenosis 30 peripheral vascular disease ankle  brachial index 0 9 endarterectomy 3 months previously transient ischemic attack stroke
6a,PMC4213545,S55,9460,9723, A Nighttime Symptoms COPD Instrument NiSCI 16 17 Early Morning Symptoms COPD Instrument EMSCI 18   newly developed patient reported outcome measures undergoing empirical testing  were completed twice daily patients using electronic diary
