CONSORT_Item,PMCID,sentence_id,clean_sentence_text
0,PMC3002834,S51, The protocol approved medical ethics committee patients gave informed consent
0,PMC3002834,S52, Procedures accordance Helsinki Declaration
4a,PMC3002834,S53, Patients mild anaemia women 6 4  7 4  mmol l men 6 4  7 8  mmol l moderate CKD estimated creatinine clearance 20  70  ml min Cockcroft  Gault formula CHF functional NYHA class II  IV based symptoms signs objective abnormality echocardiography 15 reduced ejection fraction 50 left ventricular end diastolic volume index 97  ml m2 evidence diastolic left ventricular dysfunction16 included
6a,PMC3002834,S55, EPC levels function compared 45 CRS patients baseline 20 healthy controls
3a,PMC3002834,S56, The effects EPO treatment evaluated open label randomised design
5,PMC3002834,S57, Patients received EPO treatment 50  IU kg week Neorecormon Roche Pharmaceuticals Woerden Netherlands standard treatment without EPO one year
6a,PMC3002834,S58, Short term effects EPO n 30 versus EPO n 15 evaluated 18  days 3  days third EPO injection EPO treatment yet expected result haematopoietic response
16,PMC3002834,S58, Short term effects EPO n 30 versus EPO n 15 evaluated 18  days 3  days third EPO injection EPO treatment yet expected result haematopoietic response
6a,PMC3002834,S59, Long term 52  week effects EPO assessed subgroup EPO treated patients allowed increase haemoglobin Hb levels 8 5  mmol l men 8 3  mmol l women n 13 non EPO treated group n 13
16,PMC3002834,S59, Long term 52  week effects EPO assessed subgroup EPO treated patients allowed increase haemoglobin Hb levels 8 5  mmol l men 8 3  mmol l women n 13 non EPO treated group n 13
6a,PMC3002834,S61, Serum EPO levels measured sandwich chemiluminescent immunoassay IMMULITE 2000 platform Siemens Healthcare Diagnostics Breda Netherlands
6a,PMC3002834,S62, Endothelial dysfunction EPC mobilising factors inflammation markers measured using ELISA E selectin vascular cell adhesion molecule 1 VCAM 1 interleukin IL 6 VEGF SDF 1  R D Systems Minneapolis Minnesota USA thrombomodulin Diaclone Stamford Connecticut USA multiplex immunoassay17 intercellular adhesion molecule 1 ICAM 1 monocyte chemotactic protein 1 MCP 1 Bio Rad Laboratories Hercules California USA
6a,PMC3002834,S63, High sensitivity C reactive protein hsCRP determined particle enhanced immunonephelometry standard Cardio Phase hsCRP BNII Dade Behring Holding Liederbach Germany
6a,PMC3002834,S64, N terminal prohormone brain natriuretic peptide NT proBNP measured using electrochemiluminescense immunoassay Cobas CA6000 Roche Mannheim Germany
6a,PMC3002834,S65, Samples measured duplicate averaged analysis
6a,PMC3002834,S67, Circulating EPC defined cells positive haematopoietic stem cell marker CD34 endothelial marker kinase insert domain receptor KDR ie VEGF receptor 2
0,PMC3002834,S68, This CD34 KDR EPC previously shown clinical importance predicting cardiovascular events death cardiovascular risk populations 18 19
6a,PMC3002834,S69, Blood 100  _l incubated anti CD34 FITC BD Pharmingen California USA anti KDR PE R D Systems anti CD45 PE Cy7 BD Pharmingen antibodies 45  min Erythrocytes lysed analysed flow cytometry Beckman Coulter California USA
6a,PMC3002834,S70, Circulating HSC EPC identified CD34 CD34 KDR cells lymphocyte region forward sideward scatter plot
6a,PMC3002834,S71, Cell numbers quantified relative 105 granulocytes identified CD45 cells typical granulocyte distribution
6a,PMC3002834,S72, Measurements performed duplicate results averaged
6a,PMC3002834,S73, Isotype stained samples served negative controls
6a,PMC3002834,S75, EPC outgrowth mononuclear cells MNC assessed described previously 3
6a,PMC3002834,S76, In brief MNC isolated blood using Ficoll density gradient separation Histopaque 1077 Sigma St Louis Missouri USA
6a,PMC3002834,S77, To evaluate EPC outgrowth culture 107 MNC well seeded human fibronectin Sigma coated 6 well plate EGM 2 Cambrex Baltimore Maryland USA supplemented accompanying aliquots 20 fetal calf serum Invitrogen Carlsbad California USA 100  ng ml recombinant VEGF 165 R D Systems antibiotics
6a,PMC3002834,S78, Medium changed 4  days wash non adherent cells away
6a,PMC3002834,S79, After 7  days cultured EPC selected wells placed serum free medium EBM 2 hEGF hydrocortisone GA 1000 R3 IGF 1 ascorbic acid heparin antibiotics overnight
6a,PMC3002834,S80, Conditioned medium stored functional experiments cultured EPC detached trypsin cell scraping automatically counted using haemocytometer
6a,PMC3002834,S82, The potential EPC outgrowth excrete paracrine factors stimulate endothelial cell migration assessed vitro scratch wound assay 20
6a,PMC3002834,S83, In brief EPC outgrowth medium placed mechanically scratched confluent human microvascular endothelial cell layer
6a,PMC3002834,S84, After 6  h extent scratch closure relative starting width compared study groups using light photography
6a,PMC3002834,S85, Each sample measured two separate wells two picture fields per well examined
6a,PMC3002834,S86, Results averaged data analysis
12a,PMC3002834,S88, Data analysis performed using SPSS V 15 0 Windows
12a,PMC3002834,S89, Data distribution tested Kolmogorov  Smirnov test
12a,PMC3002834,S90, Data expressed mean SD parametric data median IQR non parametric data
12a,PMC3002834,S91, Differences groups analysed using Student s test Mann  Whitney test
12a,PMC3002834,S92, Fisher s exact test used analyse whether proportions categories varied group
12a,PMC3002834,S93, Multiple group comparisons performed using ANOVA LSD post hoc testing non parametric data log transformed
12a,PMC3002834,S94, Correlations measured Pearson s Spearman s correlation coefficient appropriate
12a,PMC3002834,S95, Multivariate determinants log transformed progenitor cell counts identified stepwise multiple linear regression analysis
0,PMC3002834,S96, A value p 0 05 considered statistically significant
25,PMC3016167,S46, This study trial done without help funding agency
0,PMC3016167,S47, Anti scorpion antivenom purchased Haffkine Biopharma Mumbai given participants trial
4a,PMC3016167,S48, We proposed include people admitted scorpion sting one year March 2009 February 2010
14a,PMC3016167,S48, We proposed include people admitted scorpion sting one year March 2009 February 2010
3a,PMC3016167,S49, This randomised 1 1 allocation ratio parallel group open label controlled trial conducted Bawaskar Hospital Mahad region India population 20  000 situated 180 km south Mumbai Mumbai Goa highway
4b,PMC3016167,S49, This randomised 1 1 allocation ratio parallel group open label controlled trial conducted Bawaskar Hospital Mahad region India population 20  000 situated 180 km south Mumbai Mumbai Goa highway
0,PMC3016167,S50, An independent data safety monitoring board monitored trial access data
0,PMC3016167,S51, Statistical analysis done statistician collaboration investigators
0,PMC3016167,S52, The study design approved independent ethics committee BYL Medical College Mumbai IEC 08 39 participants provided written informed consent
6a,PMC3016167,S54, The primary efficacy variable time required recovery venomous scorpion sting
7a,PMC3016167,S55, We estimated 35 patients group would required achieve 80 power detect mean difference four hours recovery time groups assuming mean recovery time 10 hours SD 2 5 hours antivenom plus prazosin group 14 SD 3 hours prazosin alone group
8a,PMC3016167,S57, A statistician generated sequentially numbered randomisation list random block sizes 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www randomisation com
8b,PMC3016167,S57, A statistician generated sequentially numbered randomisation list random block sizes 4 4 2 4 4 6 2 4 6 6 6 8 4 8 2 using www randomisation com
8a,PMC3016167,S58, This process reproduced using seed 22491 6 March 2009
9,PMC3016167,S59, This randomisation sequence concealed using sequentially numbered opaque sealed stapled envelopes
10,PMC3016167,S60, Envelopes opened alternately HSB PHB eligible patient consented take part trial patients allocated according randomisation label inside envelope
12a,PMC3016167,S62, Demographic factors clinical characteristics summarised counts percentages categorical variables mean standard deviation SD normally distributed continuous variables
12b,PMC3016167,S62, Demographic factors clinical characteristics summarised counts percentages categorical variables mean standard deviation SD normally distributed continuous variables
16,PMC3016167,S63, All patients randomly assigned treatment group included intention to treat analyses
12a,PMC3016167,S64, The groups compared using test Fisher  s exact test categorical variables unpaired test normally distributed continuous variables Mann Whitney U test continuous variables
12b,PMC3016167,S64, The groups compared using test Fisher  s exact test categorical variables unpaired test normally distributed continuous variables Mann Whitney U test continuous variables
12a,PMC3016167,S65, We analysed results SPSS 17 software
12b,PMC3016167,S66, Blood pressure pulse rate measured different time points repeated factors treatment group included between participant measure
0,PMC3016167,S67, set 0 05
12a,PMC3016167,S68, We used Greenhouse Geisser P value
12b,PMC3016167,S68, We used Greenhouse Geisser P value
4a,PMC3016167,S70, Between March 2009 February 2010 recruited patients reported Bawaskar Hospital Mahad research centre stung Mesobuthus tamulus fig 1 2 4 6 31
14a,PMC3016167,S70, Between March 2009 February 2010 recruited patients reported Bawaskar Hospital Mahad research centre stung Mesobuthus tamulus fig 1 2 4 6 31
0,PMC3016167,S71, Fig 1 Indian red scorpion Mesobuthus tamulus
4a,PMC3016167,S73, Patients eligible enrolment reported hospital Mesobuthus tamulus sting clinical grade 2 severity interval less six hours sting hospital admission older six months
4a,PMC3016167,S74, Mesobuthus tamulus sting confirmed victim bystander seen red scorpion brought killed specimen recognised hospital  s preserved specimen
0,PMC3016167,S75, In way made sure Mesobuthus tamulus confused Palamneus gravimanus larger scorpion less lethal causes severe local pain without systemic involvement transient reversible cardiovascular effects 1 32
4a,PMC3016167,S76, Major exclusion criteria patient reporting six hours sting pregnant women history taking prazosin antivenom history bronchial asthma history allergic reaction foreign serum refusal give consent
0,PMC3016167,S77, Written informed consent obtained local language
0,PMC3016167,S78, For illiterate adults literate relative patient read statement loud consent obtained thumb impression witnessed relative
0,PMC3016167,S79, Parent  s consent obtained minor children
0,PMC3016167,S80, The study protocol approved independent ethics committee Mumbai registration number 1433 1999G B B S D IEC 08 39
0,PMC3016167,S81, All people admitted scorpion sting March 2009 February 2010 insured Oriental Insurance Company Limited clinical trial liability cover policy No 111600 48 2009 227
0,PMC3016167,S83, Cases graded according severity clinical manifestations arrival hospital box
0,PMC3016167,S84, Severity clinical manifestations morbidity mortality depend time lapsed sting hospital admission well grade case arrival 5 9 18 33 34
0,PMC3016167,S86, Grade 1 severe excruciating local pain sting site radiating along corresponding dermatomes mild local oedema sweating sting site without systemic involvement
0,PMC3016167,S87, Grade 2 signs symptoms autonomic storm characterised acetylcholine excess parasympathetic stimulation vomiting profuse sweating body ropey salivation bradycardia premature ventricular contraction hypotension priapism men sympathetic stimulation hypertension blood pressure 140 90 tachycardia heart rate 120 per minute cold extremities transient systolic murmur
0,PMC3016167,S88, Grade 3 cold extremities tachycardia hypotension hypertension pulmonary oedema respiratory rate 24 per minute basal rales crackles lungs
0,PMC3016167,S89, Grade 4 tachycardia hypotension without pulmonary oedema warm extremities warm shock
4a,PMC3016167,S90, Patients grade 2 signs symptoms included present study
0,PMC3016167,S91, After giving written consent eligible patients examined one two authors baseline data recorded standard form
0,PMC3016167,S92, Data included age sex time sting hospital admission history medication admission vomiting soon sting paraesthesia tingling numbness perioral region sometimes reported patient felt body
0,PMC3016167,S93, One authors sat side patients closely clinically examined signs symptoms systemic manifestations presence profuse sweating body ropey salivation priapism men heart murmur coolness extremities
6a,PMC3016167,S94, Blood pressure heart rate cardiac arrhythmias respiratory rate oxygen saturation monitored multipara monitor
6a,PMC3016167,S95, These findings noted admission 00 00 30 minutes 1 2 4 6 8 10 14 18 24 hours
6a,PMC3016167,S96, Subsequent improvement deteriorations grade 3 4 closely followed author examined patient arrival
6a,PMC3016167,S97, Blood collected participants admission measurement haemoglobin white cell count creatine kinase MB
6a,PMC3016167,S98, A 12 lead electrocardiogram ECG done arrival six hours discharge
0,PMC3016167,S100, Mesobuthus tamulus venomous scorpion state western Maharashtra may dangerously venomous scorpion Mahad area 24 25
0,PMC3016167,S101, Haffkine Biopharma Mumbai manufacturing monovalent anti scorpion venom serum F ab 2 Mesobuthus tamulus since 1997 available clinical use rural setting since 2002
0,PMC3016167,S102, Studies conducted different times show antivenom potent 1 mL reconstituted anti scorpion venom serum neutralised 1 2 mg Indian red scorpion venom intravenous route vivo study mice 35
0,PMC3016167,S103, The maximum volume venom injected one sting Indian red scorpion 1 5 mg mL antivenom capable neutralising 1 2 1 5 mg venom 36
5,PMC3016167,S104, A single 30 mL dose Haffkine Biopharma monovalent antivenom batch SS811001 manufacturing date November 2008 expiry date April 2013 added 100 mL normal saline infused intravenously 30 minutes irrespective patient  s age
5,PMC3016167,S105, During infusion patient closely observed reaction serum form sudden onset vomiting urticaria hypotension tachycardia bronchospasm angioneurotic oedema anaphylaxis
5,PMC3016167,S106, Oral prazosin batch ML NH 138 batch GK 60372 manufactured 04 2006 expiry 03 2011 ML NH 138 batch GK 80282 manufactured 02 2008 expiry 01 2013 given dose 250 children age 18 years 500 adults
5,PMC3016167,S107, The dose repeated intervals 3 hours extremities cold
5,PMC3016167,S108, Similar doses administered randomisation groups
5,PMC3016167,S109, Dehydration owing vomiting sweating corrected intravenous crystalloid solution
5,PMC3016167,S110, The prazosin treated group required longer duration larger volumes intravenous crystalloid solution antivenom plus prazosin group
5,PMC3016167,S111, Patients developed grade 3 4 symptoms transferred intensive care unit
5,PMC3016167,S112, Before discharge participants immunised tetanus
6a,PMC3016167,S114, The primary end point proportion patients achieving resolution grade 2 clinical syndrome end 10 hours administration study drugs prevention deterioration grade 3 4 18 21 37
6a,PMC3016167,S115, Secondary end points time required complete resolution clinical syndrome prevention deterioration higher grade doses prazosin required within 10 hours overall adverse events
0,PMC3018567,S46, The study described detail elsewhere 18
4b,PMC3018567,S47, Briefly study area Entebbe Municipality Katabi subcounty beside Lake Victoria Uganda
0,PMC3018567,S48, The area occupied urban rural fishing communities
0,PMC3018567,S49, Helminth infection highly prevalent area 19 malaria diarrhoea pneumonia common young children 20
4b,PMC3018567,S50, The study population consisted pregnant women presented government funded antenatal clinic Entebbe General Hospital April 9 2003 Nov 24 2005 roughly 70 pregnant women study area received antenatal care 21
14a,PMC3018567,S50, The study population consisted pregnant women presented government funded antenatal clinic Entebbe General Hospital April 9 2003 Nov 24 2005 roughly 70 pregnant women study area received antenatal care 21
4a,PMC3018567,S51, Women included resident study area planning deliver hospital willing know HIV status second third trimester pregnancy
4a,PMC3018567,S52, They excluded possible helminth induced pathological changes haemoglobin 80 g L clinically apparent severe liver disease diarrhoea blood stool history adverse reaction anthelmintics already enrolled trial earlier pregnancy pregnancy deemed abnormal midwife
0,PMC3018567,S53, All participants gave written informed consent
0,PMC3018567,S54, Ethics approval given Uganda Virus Research Institute Uganda National Council Science Technology London School Hygiene Tropical Medicine
8b,PMC3018567,S56, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
5,PMC3018567,S56, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
3a,PMC3018567,S56, We used two by two factorial design randomly assign patients 1 1 1 1 ratio receive simultaneously either single dose albendazole 440 mg single dose praziquantel 40 mg kg albendazole praziquantel matching placebo albendazole matching placebo praziquantel albendazole matching placebo praziquantel matching placebo albendazole matching placebo Glaxosmithkline Brentford UK praziquantel matching placebo Medochemie Ltd Limassal Cyprus
8a,PMC3018567,S57, The randomisation code generated trial statistician computer generated random number sequence block size 100
8b,PMC3018567,S57, The randomisation code generated trial statistician computer generated random number sequence block size 100
9,PMC3018567,S58, Treatments packed sealed envelopes labelled allocation number colleagues Medical Research Council Unit Entebbe otherwise contribute trial
10,PMC3018567,S59, Treatments allocated numerical order trained interviewer counsellors observed patients taking treatment correctly enrolment study
11a,PMC3018567,S60, Treatment allocation masked participants staff study
0,PMC3018567,S62, Demographic clinical details blood samples obtained screening stool samples obtained enrolment
5,PMC3018567,S63, After enrolment women continued receive standard antenatal care including haematinics tetanus immunisation intermittent presumptive treatment malaria twice first trimester pregnancy women HIV offered intrapartum neonatal single dose nevirapine prevention mother to child vertical HIV transmission 22
5,PMC3018567,S64, Stool samples obtained delivery assess effectiveness anthelmintic treatment thereafter mothers received praziquantel albendazole
6a,PMC3018567,S64, Stool samples obtained delivery assess effectiveness anthelmintic treatment thereafter mothers received praziquantel albendazole
5,PMC3018567,S65, Infants received BCG polio immunisation birth diphtheria pertussis tetanus Haemophilus influenzae hepatitis B polio immunisation 6 10 14 weeks measles immunisation 9 months
0,PMC3018567,S66, Children also attended study clinic unwell doctors diagnosed treated recorded illnesses
6a,PMC3018567,S67, Community fieldworkers visited participant s home twice month measured child s temperature recorded symptoms reported child s carer
6a,PMC3018567,S68, At age 12 months blood stool samples obtained children growth outcomes measured
6a,PMC3018567,S69, Children unwell 12 month visit given appropriate treatment asked return complete visit procedures well
6a,PMC3018567,S70, The primary outcomes immune response age 1 year BCG tetanus measles immunisation incidence malaria diarrhoea pneumonia measles tuberculosis infancy diagnosed doctors study clinic vertical HIV transmission 18
6a,PMC3018567,S71, Planned secondary outcomes growth anaemia age 1 year
6a,PMC3018567,S72, Community reported data illness events included secondary outcome comparison doctor diagnosed illness events clinic visits
6a,PMC3018567,S73, We also considered two additional unplanned secondary outcomes infant mortality asymptomatic malaria presence malaria parasitaemia 1 year age
6a,PMC3018567,S74, Cytokine responses 1 year age crude culture filtrate proteins Mycobacterium tuberculosis cCFP measured indicator response BCG immunisation
6a,PMC3018567,S75, Cytokine responses age 1 year tetanus toxoid measured indicator response tetanus immunisation
6a,PMC3018567,S76, We examined stimulated interferon  _ type 1 interleukin 5 type 2 interleukin 13 type 2 interleukin 10 regulatory responses whole blood assay previously described 23
6a,PMC3018567,S77, Total serum IgG IgG4 IgE responses tetanus toxoid measured ELISA webappendix p 1
6a,PMC3018567,S78, Total serum measles specific IgG measured ELISA Dade Behring Siemens Eschborn Germany according manufacturer s protocol
6a,PMC3018567,S79, Immunological assays done samples obtained randomised sequence use computer generated random number sequence avoid confounding secular trends variations assay performance
6a,PMC3018567,S80, For primary outcome doctor diagnosed illness events clinical malaria fever temperature parasitaemia diarrhoea infant s carer s definition stool frequency recorded 24 pneumonia cough difficulty breathing age specific fast breathing 25 measles defined standard clinical criteria confirmed measurement specific antibody 26 children suspected tuberculosis investigated clinically indicated 27
6a,PMC3018567,S81, For secondary outcome community reported illnesses febrile illness defined measured fieldworkers temperature reported child s carer diarrhoea reported carer stool frequency recorded presumptive pneumonia cough difficulty breathing age specific fast breathing measured fieldworkers
6a,PMC3018567,S82, Stool samples examined helminth ova Kato Katz method28 charcoal culture Strongyloides sterocoralis infection 29 two Kato Katz slides prepared sample examined hookworm ova within 30 mins preparation examined next day species
6a,PMC3018567,S83, Hookworm Schistosoma mansoni infections classified low medium high intensities according WHO guidelines 30
6a,PMC3018567,S84, Blood samples examined modified Knott s method Mansonella perstans31 thick film malaria parasites
6a,PMC3018567,S85, Haemoglobin estimated Coulter analyser Beckman Coulter Nyon Switzerland
6a,PMC3018567,S86, Quality control Kato Katz analyses provided Vector Control Programme Ministry Health Uganda haematology malaria parasitology UK National External Quality Assessment Schemes
6a,PMC3018567,S87, Mothers HIV serology done rapid test algorithm 30
6a,PMC3018567,S88, Blood obtained cord 6 weeks age infants mothers HIV assessment vertical HIV transmission
6a,PMC3018567,S89, Plasma whole blood cell pellet separated centrifugation stored assays done
6a,PMC3018567,S90, For detection HIV 1 proviral DNA infants 6 weeks DNA extracted stored whole blood cell pellets amplified nested PCR three conserved viral regions tat gp41 nef webappendix p 1
6a,PMC3018567,S91, For cord 6 week samples plasma HIV load measured Bayer Versant branched DNA assay version 3 0 Bayer Leverkusen Germany Roche Amplicor HIV 1 RNA Monitor test version 1 5 Roche NJ USA
6a,PMC3018567,S92, Infants regarded HIV positive 6 week sample positive DNA PCR viral regions viral load 1000 copies per mL four infants viral load data available used establish HIV status
0,PMC3018567,S93, Viral load DNA PCR results concordant apart one infant viral load 6699 copies per mL PCR negative seronegative rapid test algorithm age 18 months classified HIV negative
6a,PMC3018567,S94, In infants HIV infection transmission regarded likely intrauterine viral load cord blood 1000 copies per mL
0,PMC3018567,S96, Analysis done children older 15 months
0,PMC3018567,S97, Data samples measurements obtained routine 1 year visits included child attended within 2 months first birthday
0,PMC3018567,S98, Data illness events mortality censored strictly 1 year
0,PMC3018567,S99, Results younger twins excluded analyses
7a,PMC3018567,S100, On basis preliminary study 32 planned cohort size 2500 expected accrue 1860 person years follow up infancy 1594 infants expected seen age 1 year
7a,PMC3018567,S101, For either maternal treatment assuming interaction treatments number would give 80 power detect rate ratios 0 82 malaria 0 91 diarrhoea 0 76 pneumonia p values less 0 05 assuming frequency disease placebo groups 50 per 100 person years malaria 33 190 per 100 person years diarrhoea 34 25 per 100 person years pneumonia 35
0,PMC3018567,S102, Incidence tuberculosis measles expected low 18 therefore large differences incidence would detected
0,PMC3018567,S103, Samples 1594 infants assessed 1 year would detect differences infant cytokine responses 0 11 log10 intervention groups 18 32
0,PMC3018567,S104, The patients included analysis primary outcomes differed data outcome obtained different times
0,PMC3018567,S105, For immune response age 1 year analysis included children provided blood sample 1 year received full BCG cCFP analysis tetanus tetanus toxoid analysis immunisation Entebbe Hospital second born twins excluded
0,PMC3018567,S106, For incidence infectious diseases infancy analysis included liveborn children excluding second born twins
0,PMC3018567,S107, For vertical HIV transmission analysis included children whose mothers receiving highly active antiretroviral therapy blood samples age 6 weeks available second born twins excluded
0,PMC3018567,S108, Cytokine antibody responses showed skewed distributions disproportionate numbers zero values
12a,PMC3018567,S109, Results transformed log10 concentration 1 analysed linear regression bootstrapping estimate bias corrected accelerated confidence intervals 36
12a,PMC3018567,S110, Regression coefficients back transformed give geometric mean ratios
12a,PMC3018567,S111, Interactions examined Wald tests
0,PMC3018567,S112, For doctor diagnosed disease incidence time risk began birth censored loss follow up death age 1 year
0,PMC3018567,S113, All children known date birth included analysis censoring irrespective whether made clinic visit illness
12a,PMC3018567,S114, For disease calculated incidence rates events
0,PMC3018567,S115, Disease episodes within 14 days initial presentation disease regarded part episode excluded analysis time risk adjusted accordingly excluding 14 day periods total person time denominator
12a,PMC3018567,S116, Hazard ratios HRs effects treatment calculated Cox regression robust SEs allow within child clustering
12a,PMC3018567,S117, For community reported illness data generalised estimating equation approach exchangeable correlation structure used model effects treatment repeated binary outcomes
12a,PMC3018567,S118, Odds ratios ORs effects treatment vertical HIV transmission calculated logistic regression
12a,PMC3018567,S119, The prevalence asymptomatic malaria 1 year compared treatment groups logistic regression
12a,PMC3018567,S120, Infant mortality per 1000 livebirths estimated Kaplan Meier survival probabilities age 1 year effects maternal anthelmintic treatment assessed Cox regression
12a,PMC3018567,S121, Weight for age height for age weight for height Z scores 1 year derived WHO growth standard reference scales igrowup macros
12a,PMC3018567,S122, We examined effects maternal treatment Z scores haemoglobin 1 year linear regression
12b,PMC3018567,S123, We two prespecified subgroup analyses examining effects albendazole treatment children mothers hookworm infection effects praziquantel treatment children mothers schistosomiasis
12b,PMC3018567,S124, Differences subgroups examined fitting interaction terms regression models
12a,PMC3018567,S125, All p values two sided adjustment made multiple comparisons
12b,PMC3018567,S125, All p values two sided adjustment made multiple comparisons
12a,PMC3018567,S126, Analyses done Stata 10 1
0,PMC3018567,S128, The sponsor study role study design data collection data analysis data interpretation writing report
0,PMC3018567,S129, AME full access data study final responsibility decision submit publication
